"","N_SQ_AD","college"
"752",750113789,140
"753",750115389,75
"754",750114972,1
"755",750109983,140
"756",750117981,1
"757",750115387,1
"758",750118113,1
"759",750115762,140
"760",750116273,140
"761",750115349,1
"762",750110510,140
"763",750142479,75
"764",750142485,75
"765",750118104,1
"766",750112570,140
"767",750111359,1
"768",750112569,140
"769",750115858,189
"770",750112561,140
"771",750117456,140
"772",750115383,1
"773",750118163,1
"774",750116281,140
"775",750117969,1
"776",750115813,1
"777",750116279,140
"778",750110498,140
"779",750109980,140
"780",750114927,1
"781",750112307,140
"782",750108701,140
"783",750112308,140
"784",750158738,75
"785",750112311,140
"786",750112313,140
"787",750115857,189
"788",750158739,75
"789",750110487,140
"790",750117637,140
"791",750115390,75
"792",750110473,1
"793",750112586,140
"794",750116252,140
"795",750113765,287
"796",750111306,1
"797",750110656,1
"798",750110468,1
"799",750117284,189
"800",750112556,140
"801",750115781,1
"802",750112559,140
"803",750117988,1
"804",750108484,140
"805",750108483,140
"806",750108482,140
"807",750112553,140
"808",750111347,1
"809",750116421,1
"810",750142462,75
"811",750109618,1
"812",750110110,75
"813",750112584,140
"814",750109047,1
"815",750112562,140
"816",750109949,1
"817",750114945,1
"818",750113735,140
"819",750115778,1
"820",750115799,189
"821",750110479,1
"822",750152198,75
"823",750115805,189
"824",750112580,140
"825",750118000,1
"826",750113791,140
"827",750117985,1
"828",750115396,75
"829",750115932,140
"830",750115791,189
"831",750110496,140
"832",750117422,140
"833",750112590,75
"834",750113781,140
"835",750110493,140
"836",750109979,140
"837",750113762,287
"838",750114940,1
"839",750118783,193
"840",750114928,1
"841",750118777,1
"842",750175968,1
"843",750117966,1
"844",750146492,75
"845",750111315,1
"846",750146499,75
"847",750140746,140
"848",750113782,140
"849",750113724,140
"850",750111310,1
"851",750112568,140
"852",750142465,75
"853",750117991,1
"854",750113717,140
"855",750115357,1
"856",750172161,1
"857",750118108,1
"858",750117943,1
"859",750117971,1
"860",750118286,1
"861",750117992,1
"862",750116125,140
"863",750117996,1
"864",750108879,140
"865",750115853,189
"866",750118284,1
"867",750112583,140
"868",750115803,189
"869",750118097,1
"870",750110657,1
"871",750117956,1
"872",750109968,140
"873",750111311,1
"874",750110093,1
