"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"111",112,"ECOLE ÉLÉMENTAIRE 10 RUE LE VAU - PARIS 20",112,"ECOLE ÉLÉMENTAIRE","10","RUE LE VAU",20,750091061
"112",113,"ECOLE MATERNELLE 8 RUE LE VAU - PARIS 20",113,"ECOLE MATERNELLE","8","RUE LE VAU",20,750091060
"113",114,"ECOLE ÉLÉMENTAIRE A 20 RUE LE VAU - PARIS 20",114,"ECOLE ÉLÉMENTAIRE A","20","RUE LE VAU",20,750091066
"114",115,"COLLÈGE PAUL VERLAINE 165 RUE DE BERCY - PARIS 12",115,"COLLÈGE PAUL VERLAINE","165","RUE DE BERCY",12,750058248
"115",116,"ECOLE MATERNELLE 47 RUE ARMAND CARREL - PARIS 19",116,"ECOLE MATERNELLE","47","RUE ARMAND CARREL",19,750013419
"116",117,"ECOLE ÉLÉMENTAIRE 43 RUE ARMAND CARREL - PARIS 19",117,"ECOLE ÉLÉMENTAIRE","43","RUE ARMAND CARREL",19,750013417
"117",118,"COLLÈGE EDOUARD PAILLERON 33 RUE EDOUARD PAILLERON - PARIS 19",118,"COLLÈGE EDOUARD PAILLERON","33","RUE EDOUARD PAILLERON",19,750015566
"118",119,"ECOLE MATERNELLE 3B RUE D'ALESIA - PARIS 14",119,"ECOLE MATERNELLE","3B","RUE D'ALESIA",14,750098364
"119",120,"ECOLE ÉLÉMENTAIRE 3 RUE D'ALESIA - PARIS 14",120,"ECOLE ÉLÉMENTAIRE","3","RUE D'ALESIA",14,750098364
"120",121,"COLLÈGE GEORGES BRAQUE 91/95 RUE BRILLAT SAVARIN - PARIS 13",121,"COLLÈGE GEORGES BRAQUE","91/95","RUE BRILLAT SAVARIN",13,750067082
"121",122,"ECOLE MATERNELLE 29 RUE DES LONGUES RAIES - PARIS 13",122,"ECOLE MATERNELLE","29","RUE DES LONGUES RAIES",13,750071577
"122",123,"ECOLE ÉLÉMENTAIRE 8 RUE KUSS - PARIS 13",123,"ECOLE ÉLÉMENTAIRE","8","RUE KUSS",13,750071329
"123",124,"ECOLE MATERNELLE 8 RUE KUSS - PARIS 13",124,"ECOLE MATERNELLE","8","RUE KUSS",13,750071329
"124",125,"COLLÈGE EVARISTE GALOIS 11 RUE DU DOCTEUR BOURNEVILLE - PARIS 13",125,"COLLÈGE EVARISTE GALOIS","11","RUE DU DOCTEUR BOURNEVILLE",13,750143878
"125",126,"ECOLE ÉLÉMENTAIRE 8 RUE ROBERT ESTIENNE - PARIS 08",126,"ECOLE ÉLÉMENTAIRE","8","RUE ROBERT ESTIENNE",8,750038895
"126",127,"COLLÈGE JULES ROMAINS 6 RUE CLER - PARIS 07",127,"COLLÈGE JULES ROMAINS","6","RUE CLER",7,750031032
"127",128,"ECOLE MATERNELLE 22 AVENUE PORTE DE VILLIERS - PARIS 17",128,"ECOLE MATERNELLE","22","AV DE LA PORTE DE VILLIERS",17,750138180
"128",129,"ECOLE ÉLÉMENTAIRE 7 AVENUE DE LA PTE CHAMPERRET - PARIS 17",129,"ECOLE ÉLÉMENTAIRE","7","AV DE LA PTE CHAMPERRET",17,750138088
"129",130,"COLLÈGE ANDRE MALRAUX 5 BIS RUE SAINT FERDINAND - PARIS 17",130,"COLLÈGE ANDRE MALRAUX","5BIS","RUE SAINT FERDINAND",17,750138771
