"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"379",380,"ECOLE ÉLÉMENTAIRE B 29 RUE SERVAN - PARIS 11",380,"ECOLE ÉLÉMENTAIRE B","29","RUE SERVAN",11,750056743
"380",381,"ECOLE MATERNELLE 59 RUE DE REUILLY - PARIS 12",381,"ECOLE MATERNELLE","59","RUE DE REUILLY",12,750063745
"381",382,"ECOLE ÉLÉMENTAIRE A 57 RUE DE REUILLY (ECOLE A) - PARIS 12",382,"ECOLE ÉLÉMENTAIRE A","57","RUE DE REUILLY (ECOLE A)",12,750063744
"382",383,"ECOLE ÉLÉMENTAIRE B 57 RUE DE REUILLY (ECOLE B) - PARIS 12",383,"ECOLE ÉLÉMENTAIRE B","57","RUE DE REUILLY (ECOLE B)",12,750063744
"383",384,"ECOLE MATERNELLE 53B RUE MARX DORMOY - PARIS 18",384,"ECOLE MATERNELLE","53B","RUE MARX DORMOY",18,750081490
"384",385,"ECOLE ÉLÉMENTAIRE 6 RUE JEAN FRANCOIS LEPINE - PARIS 18",385,"ECOLE ÉLÉMENTAIRE","6","RUE JEAN FRANCOIS LEPINE",18,750080015
"385",386,"ECOLE ÉLÉMENTAIRE 51 RUE RAMPONEAU - PARIS 20",386,"ECOLE ÉLÉMENTAIRE","51","RUE RAMPONEAU",20,750094459
"386",387,"COLLÈGE COLETTE BESSON 9 RUE DES PANOYAUX - PARIS 20",387,"COLLÈGE COLETTE BESSON","9","RUE DES PANOYAUX",20,750092871
"387",388,"ECOLE MATERNELLE 47 RUE DES GRANDS MOULINS - PARIS 13",388,"ECOLE MATERNELLE","47","RUE DES GRANDS MOULINS",13,750158770
"388",389,"ECOLE MATERNELLE 6 RUE LEGOUVE - PARIS 10",389,"ECOLE MATERNELLE","6","RUE LEGOUVE",10,750048089
"389",390,"ECOLE ÉLÉMENTAIRE 17 RUE DE MARSEILLE - PARIS 10",390,"ECOLE ÉLÉMENTAIRE","17","RUE DE MARSEILLE",10,750048470
"390",391,"ECOLE MATERNELLE 16 RUE WURTZ - PARIS 13",391,"ECOLE MATERNELLE","16","RUE WURTZ",13,750074999
"391",392,"ECOLE ÉLÉMENTAIRE 16 RUE WURTZ - PARIS 13",392,"ECOLE ÉLÉMENTAIRE","16","RUE WURTZ",13,750074999
"392",393,"COLLÈGE MOULIN DES PRES 18 RUE DU MOULIN DES PRES - PARIS 13",393,"COLLÈGE MOULIN DES PRES","18","RUE DU MOULIN DES PRES",13,750072145
"393",394,"ECOLE MATERNELLE 32 PLACE JEANNE D'ARC - PARIS 13",394,"ECOLE MATERNELLE","32","PL JEANNE D'ARC",13,750070922
"394",395,"ECOLE ÉLÉMENTAIRE B 30 PLACE JEANNE D'ARC - PARIS 13",395,"ECOLE ÉLÉMENTAIRE B","30","PL JEANNE D'ARC",13,750070921
"395",396,"ECOLE MATERNELLE 5 RUE YEO THOMAS - PARIS 13",396,"ECOLE MATERNELLE","5","RUE YEO THOMAS",13,750075021
"396",397,"ECOLE ÉLÉMENTAIRE 173 RUE CHATEAU DES RENTIERS - PARIS 13",397,"ECOLE ÉLÉMENTAIRE","173","RUE CHATEAU DES RENTIERS",13,750067643
"397",398,"COLLÈGE ELSA TRIOLET 9 RUE YEO THOMAS - PARIS 13",398,"COLLÈGE ELSA TRIOLET","9","RUE YEO THOMAS",13,750075023
"398",399,"ECOLE MATERNELLE 56 RUE D'ORSEL - PARIS 18",399,"ECOLE MATERNELLE","56","RUE D'ORSEL",18,750082752
"399",400,"ECOLE ÉLÉMENTAIRE 1 RUE FOYATIER - PARIS 18",400,"ECOLE ÉLÉMENTAIRE","1","RUE FOYATIER",18,NA
"400",401,"COLLÈGE YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18",401,"COLLÈGE YVONNE LE TAC","7","RUE YVONNE LE TAC",18,750085579
"401",402,"COLLÈGE A RODIN 19 RUE CORVISART - PARIS 13",402,"COLLÈGE A RODIN","19","RUE CORVISART",13,750068528
"402",403,"ECOLE ÉLÉMENTAIRE 18 RUE SAINTE ISAURE - PARIS 18",403,"ECOLE ÉLÉMENTAIRE","18","RUE SAINTE ISAURE",18,750084411
"403",404,"COLLÈGE GERARD PHILIPE 8 RUE DES AMIRAUX - PARIS 18",404,"COLLÈGE GERARD PHILIPE","8","RUE DES AMIRAUX",18,750075305
"404",405,"COLLÈGE MAURICE UTRILLO 100 BOULEVARD NEY - PARIS 18",405,"COLLÈGE MAURICE UTRILLO","100","BD NEY",18,750082176
"405",406,"ECOLE MATERNELLE 77 RUE DU MONT CENIS - PARIS 18",406,"ECOLE MATERNELLE","77","RUE DU MONT CENIS",18,750081741
"406",407,"ECOLE MATERNELLE 13 BOULEVARD RICHARD LENOIR - PARIS 11",407,"ECOLE MATERNELLE","13","BD RICHARD LENOIR",11,750055582
"407",408,"ECOLE ÉLÉMENTAIRE 17 RUE ALPHONSE BAUDIN - PARIS 11",408,"ECOLE ÉLÉMENTAIRE","17","RUE ALPHONSE BAUDIN",11,750050076
"408",409,"ECOLE ÉLÉMENTAIRE 24 RUE SAINT SEBASTIEN - PARIS 11",409,"ECOLE ÉLÉMENTAIRE","24","RUE SAINT SEBASTIEN",11,750056592
"409",410,"COLLÈGE BEAUMARCHAIS 124/126 RUE AMELOT - PARIS 11",410,"COLLÈGE BEAUMARCHAIS","124/126","RUE AMELOT",11,750050178
"410",411,"ECOLE MATERNELLE 31 RUE GODEFROY CAVAIGNAC - PARIS 11",411,"ECOLE MATERNELLE","31","RUE GODEFROY CAVAIGNAC",11,750052740
"411",412,"ECOLE ÉLÉMENTAIRE 35 RUE GODEFROY CAVAIGNAC - PARIS 11",412,"ECOLE ÉLÉMENTAIRE","35","RUE GODEFROY CAVAIGNAC",11,750052742
"412",413,"ECOLE MATERNELLE 5 RUE BOY ZELENSKI - PARIS 10",413,"ECOLE MATERNELLE","5","RUE BOY ZELENSKI",10,750045698
"413",414,"ECOLE ÉLÉMENTAIRE 33 AVENUE CLAUDE VELLEFAUX - PARIS 10",414,"ECOLE ÉLÉMENTAIRE","33","AV CLAUDE VELLEFAUX",10,750046202
"414",415,"ECOLE ÉLÉMENTAIRE 16 RUE VICQ D'AZIR - PARIS 10",415,"ECOLE ÉLÉMENTAIRE","16","RUE VICQ D'AZIR",10,750049747
"415",416,"COLLÈGE FRANCOISE SELIGMANN 21 RUE DE SAMBRE-ET-MEUSE - PARIS 10",416,"COLLÈGE FRANCOISE SELIGMANN","21","RUE DE SAMBRE-ET-MEUSE",10,750049365
"416",417,"COLLÈGE G COURTELINE 48 AVENUE DU DR ARNOLD NETTER - PARIS 12",417,"COLLÈGE G COURTELINE","48","AV DU DR ARNOLD NETTER",12,750060455
"417",418,"ECOLE MATERNELLE 54 RUE SERVAN - PARIS 11",418,"ECOLE MATERNELLE","54","RUE SERVAN",11,750056759
"418",419,"ECOLE ÉLÉMENTAIRE 100 AVENUE DE LA REPUBLIQUE - PARIS 11",419,"ECOLE ÉLÉMENTAIRE","100","AV DE LA REPUBLIQUE",11,750055498
"419",420,"ECOLE ÉLÉMENTAIRE 98 AVENUE DE LA REPUBLIQUE - PARIS 11",420,"ECOLE ÉLÉMENTAIRE","98","AV DE LA REPUBLIQUE",11,750055497
"420",421,"COLLÈGE VOLTAIRE 101 AVENUE DE LA REPUBLIQUE - PARIS 11",421,"COLLÈGE VOLTAIRE","101","AV DE LA REPUBLIQUE",11,750055434
"421",422,"ECOLE MATERNELLE 10 RUE DE MENILMONTANT - PARIS 20",422,"ECOLE MATERNELLE","10","RUE DE MENILMONTANT",20,750091973
"422",423,"ECOLE ÉLÉMENTAIRE 31 RUE ETIENNE DOLET - PARIS 20",423,"ECOLE ÉLÉMENTAIRE","31","RUE ETIENNE DOLET",20,750088825
"423",424,"COLLÈGE ROBERT DOISNEAU 51 RUE DES PANOYAUX - PARIS 20",424,"COLLÈGE ROBERT DOISNEAU","51","RUE DES PANOYAUX",20,750092844
"424",425,"ECOLE MATERNELLE 100 RUE DE LA GLACIERE - PARIS 13",425,"ECOLE MATERNELLE","100","RUE DE LA GLACIERE",13,750070013
"425",426,"ECOLE ÉLÉMENTAIRE 100 RUE DE LA GLACIERE - PARIS 13",426,"ECOLE ÉLÉMENTAIRE","100","RUE DE LA GLACIERE",13,750070013
"426",427,"ECOLE ÉLÉMENTAIRE 3-7 PASSAGE JOSSEAUME - PARIS 20",427,"ECOLE ÉLÉMENTAIRE","3-7","PAS JOSSEAUME",20,750090418
"427",428,"COLLÈGE HENRI MATISSE 3 RUE VITRUVE - PARIS 20",428,"COLLÈGE HENRI MATISSE","3","RUE VITRUVE",20,750096464
"428",429,"ECOLE MATERNELLE 91 RUE DE LA REUNION - PARIS 20",429,"ECOLE MATERNELLE","91","RUE DE LA REUNION",20,750094761
"429",430,"ECOLE MATERNELLE 4 PASSAGE BULLOURDE - PARIS 11",430,"ECOLE MATERNELLE","4","PAS BULLOURDE",11,750050796
"430",431,"ECOLE ÉLÉMENTAIRE 4 RUE KELLER - PARIS 11",431,"ECOLE ÉLÉMENTAIRE","4","RUE KELLER",11,750053312
"431",432,"COLLÈGE ANNE FRANK 38 RUE TROUSSEAU - PARIS 11",432,"COLLÈGE ANNE FRANK","38","RUE TROUSSEAU",11,750057119
"432",433,"ECOLE ÉLÉMENTAIRE 16 RUE JULIEN LACROIX - PARIS 20",433,"ECOLE ÉLÉMENTAIRE","16","RUE JULIEN LACROIX",20,750090632
"433",434,"COLLÈGE LEON GAMBETTA 151 AVENUE GAMBETTA - PARIS 20",434,"COLLÈGE LEON GAMBETTA","151","AV GAMBETTA",20,750089236
"434",435,"ECOLE MATERNELLE 18 RUE DU SURMELIN - PARIS 20",435,"ECOLE MATERNELLE","18","RUE DU SURMELIN",20,750095729
"435",436,"ECOLE MATERNELLE 167 RUE DE BERCY - PARIS 12",436,"ECOLE MATERNELLE","167","RUE DE BERCY",12,750058249
"436",437,"ECOLE ÉLÉMENTAIRE 165 RUE DE BERCY - PARIS 12",437,"ECOLE ÉLÉMENTAIRE","165","RUE DE BERCY",12,750058248
"437",438,"ECOLE MATERNELLE 23 PASSAGE DES RECOLLETS - PARIS 10",438,"ECOLE MATERNELLE","23","PAS DES RECOLLETS",10,750145617
"438",439,"ECOLE ÉLÉMENTAIRE 19 PASSAGE DES RECOLLETS - PARIS 10",439,"ECOLE ÉLÉMENTAIRE","19","PAS DES RECOLLETS",10,750048976
"439",440,"ECOLE MATERNELLE 12 RUE DES GRANDS CHAMPS - PARIS 20",440,"ECOLE MATERNELLE","12","RUE DES GRANDS CHAMPS",20,750089727
"440",441,"ECOLE ÉLÉMENTAIRE B 9 RUE DE LA PLAINE - PARIS 20",441,"ECOLE ÉLÉMENTAIRE B","9","RUE DE LA PLAINE",20,750093613
"441",442,"ECOLE ÉLÉMENTAIRE A 11 RUE DE LA PLAINE - PARIS 20",442,"ECOLE ÉLÉMENTAIRE A","11","RUE DE LA PLAINE",20,750093614
"442",443,"COLLÈGE MAURICE RAVEL 89 COURS DE VINCENNES - PARIS 20",443,"COLLÈGE MAURICE RAVEL","89","CRS DE VINCENNES",20,750096445
"443",444,"COLLÈGE HELENE BOUCHER 75 COURS DE VINCENNES - PARIS 20",444,"COLLÈGE HELENE BOUCHER","75","CRS DE VINCENNES",20,750096439
"444",445,"ECOLE MATERNELLE 1 RUE GUSTAVE ROUANET - PARIS 18",445,"ECOLE MATERNELLE","1","RUE GUSTAVE ROUANET",18,750079675
"445",446,"ECOLE ÉLÉMENTAIRE 7 RUE GUSTAVE ROUANET - PARIS 18",446,"ECOLE ÉLÉMENTAIRE","7","RUE GUSTAVE ROUANET",18,750079678
"446",447,"ECOLE MATERNELLE 131 RUE BELLIARD - PARIS 18",447,"ECOLE MATERNELLE","131","RUE BELLIARD",18,750075835
"447",448,"ECOLE MATERNELLE 40 RUE JACQUES HILLAIRET - PARIS 12",448,"ECOLE MATERNELLE","40","RUE JACQUES HILLAIRET",12,750061618
"448",449,"ECOLE ÉLÉMENTAIRE 4 RUE BIGNON - PARIS 12",449,"ECOLE ÉLÉMENTAIRE","4","RUE BIGNON",12,750058445
"449",450,"COLLÈGE GUY FLAVIEN 6 RUE D'ARTAGNAN - PARIS 12",450,"COLLÈGE GUY FLAVIEN","6","RUE D'ARTAGNAN",12,750057843
"450",451,"ECOLE MATERNELLE 6 AVENUE DE BOUVINES - PARIS 11",451,"ECOLE MATERNELLE","6","AV DE BOUVINES",11,750050731
"451",452,"ECOLE ÉLÉMENTAIRE 4 AVENUE DE BOUVINES - PARIS 11",452,"ECOLE ÉLÉMENTAIRE","4","AV DE BOUVINES",11,750050730
"452",453,"COLLÈGE J-F OEBEN 23 RUE DE REUILLY - PARIS 12",453,"COLLÈGE J-F OEBEN","23","RUE DE REUILLY",12,750063697
"453",454,"ECOLE MATERNELLE 9 RUE POPINCOURT - PARIS 11",454,"ECOLE MATERNELLE","9","RUE POPINCOURT",11,750055257
"454",455,"ECOLE ÉLÉMENTAIRE 13 RUE FROMENT - PARIS 11",455,"ECOLE ÉLÉMENTAIRE","13","RUE FROMENT",11,750052591
"455",456,"ECOLE MATERNELLE 19 RUE ALPHONSE BAUDIN - PARIS 11",456,"ECOLE MATERNELLE","19","RUE ALPHONSE BAUDIN",11,750050077
"456",457,"ECOLE MATERNELLE 2 PASSAGE BESLAY - PARIS 11",457,"ECOLE MATERNELLE","2","PAS BESLAY",11,750050582
"457",458,"ECOLE ÉLÉMENTAIRE 1 RUE PIHET - PARIS 11",458,"ECOLE ÉLÉMENTAIRE","1","RUE PIHET",11,750055158
"458",459,"ECOLE MATERNELLE 6 CITE VOLTAIRE - PARIS 11",459,"ECOLE MATERNELLE","6","CITE VOLTAIRE",11,750057575
"459",460,"ECOLE MATERNELLE 87 RUE BRILLAT SAVARIN - PARIS 13",460,"ECOLE MATERNELLE","87","RUE BRILLAT SAVARIN",13,750067080
"460",461,"ECOLE ÉLÉMENTAIRE A 5 RUE DE LA PROVIDENCE - PARIS 13",461,"ECOLE ÉLÉMENTAIRE A","5","RUE DE LA PROVIDENCE",13,750073348
"461",462,"ECOLE ÉLÉMENTAIRE B 7 RUE DE LA PROVIDENCE - PARIS 13",462,"ECOLE ÉLÉMENTAIRE B","7","RUE DE LA PROVIDENCE",13,750073349
"462",463,"ECOLE MATERNELLE 2 RUE PAUL GERVAIS - PARIS 13",463,"ECOLE MATERNELLE","2","RUE PAUL GERVAIS",13,750072815
"463",464,"ECOLE ÉLÉMENTAIRE 13 RUE VULPIAN - PARIS 13",464,"ECOLE ÉLÉMENTAIRE","13","RUE VULPIAN",13,750074889
"464",465,"ECOLE MATERNELLE 46 RUE JENNER - PARIS 13",465,"ECOLE MATERNELLE","46","RUE JENNER",13,750071112
"465",466,"ECOLE ÉLÉMENTAIRE A 40 RUE JENNER - PARIS 13",466,"ECOLE ÉLÉMENTAIRE A","40","RUE JENNER",13,750071109
"466",467,"ECOLE ÉLÉMENTAIRE B 46 RUE JENNER - PARIS 13",467,"ECOLE ÉLÉMENTAIRE B","46","RUE JENNER",13,750071112
"467",468,"COLLÈGE RAYMOND QUENEAU 66 BOULEVARD SAINT MARCEL - PARIS 05",468,"COLLÈGE RAYMOND QUENEAU","66","BD SAINT MARCEL",5,750025535
"468",469,"ECOLE ÉLÉMENTAIRE 52 RUE DE WATTIGNIES - PARIS 12",469,"ECOLE ÉLÉMENTAIRE","52","RUE DE WATTIGNIES",12,750065126
"469",470,"ECOLE MATERNELLE 28 RUE DE LA BRECHE AUX LOUPS - PARIS 12",470,"ECOLE MATERNELLE","28","RUE DE LA BRECHE AUX LOUPS",12,750058531
"470",471,"ECOLE ÉLÉMENTAIRE 18 RUE DE LA BRECHE AUX LOUPS - PARIS 12",471,"ECOLE ÉLÉMENTAIRE","18","RUE DE LA BRECHE AUX LOUPS",12,750058526
"471",472,"ECOLE MATERNELLE 6 RUE DU RUISSEAU - PARIS 18",472,"ECOLE MATERNELLE","6","RUE DU RUISSEAU",18,750084308
"472",473,"ECOLE MATERNELLE 7 RUE TCHAIKOVSKI - PARIS 18",473,"ECOLE MATERNELLE","7","RUE TCHAIKOVSKI",18,750085019
"473",474,"ECOLE ÉLÉMENTAIRE 33 RUE DE L'EVANGILE - PARIS 18",474,"ECOLE ÉLÉMENTAIRE","33","RUE DE L'EVANGILE",18,750078967
"474",475,"ECOLE MATERNELLE 39 RUE DES TROIS BORNES - PARIS 11",475,"ECOLE MATERNELLE","39","RUE DES TROIS BORNES",11,750057017
"475",476,"ECOLE ÉLÉMENTAIRE 39 RUE DES TROIS BORNES - PARIS 11",476,"ECOLE ÉLÉMENTAIRE","39","RUE DES TROIS BORNES",11,750057017
"476",477,"COLLÈGE GEORGE SAND 159 RUE DE TOLBIAC - PARIS 13",477,"COLLÈGE GEORGE SAND","159","RUE DE TOLBIAC",13,750074226
"477",478,"ECOLE MATERNELLE 2 PLACE FRANCOISE DORLEAC - PARIS 18",478,"ECOLE MATERNELLE","2","PL FRANCOISE DORLEAC",18,750175662
"478",479,"ECOLE ÉLÉMENTAIRE B 8 PL FRANCOISE DORLEAC (EC. B - PARIS 18",479,"ECOLE ÉLÉMENTAIRE B","8","PL FRANCOISE DORLEAC (EC. B",18,750177427
"479",480,"ECOLE ÉLÉMENTAIRE A 8 PLACE FRANCOISE DORLEAC (EC. - PARIS 18",480,"ECOLE ÉLÉMENTAIRE A","8","PL FRANCOISE DORLEAC (EC.",18,750177427
"480",481,"ECOLE ÉLÉMENTAIRE 19 RUE FERNAND LABORI - PARIS 18",481,"ECOLE ÉLÉMENTAIRE","19","RUE FERNAND LABORI",18,750152442
"481",482,"COLLÈGE BERNARD PALISSY 21 RUE DES PETITS HOTELS - PARIS 10",482,"COLLÈGE BERNARD PALISSY","21","RUE DES PETITS HOTELS",10,750048859
"482",483,"COLLÈGE VALMY 199 QUAI DE VALMY - PARIS 10",483,"COLLÈGE VALMY","199","QU DE VALMY",10,750049655
"483",484,"ECOLE MATERNELLE 40 RUE VANDREZANNE - PARIS 13",484,"ECOLE MATERNELLE","40","RUE VANDREZANNE",13,750074473
"484",485,"ECOLE MATERNELLE 4B RUE DE LA PRESENTATION - PARIS 11",485,"ECOLE MATERNELLE","4B","RUE DE LA PRESENTATION",11,750055309
"485",486,"ECOLE ÉLÉMENTAIRE A 77 BLD DE BELLEVILLE - PARIS 11",486,"ECOLE ÉLÉMENTAIRE A","77","BD DE BELLEVILLE",11,750050527
"486",487,"ECOLE MATERNELLE 4 RUE VAUVENARGUES - PARIS 18",487,"ECOLE MATERNELLE","4","RUE VAUVENARGUES",18,750085447
"487",488,"COLLÈGE ANTOINE COYSEVOX 16 RUE COYSEVOX - PARIS 18",488,"COLLÈGE ANTOINE COYSEVOX","16","RUE COYSEVOX",18,750077884
"488",489,"COLLÈGE HECTOR BERLIOZ 17 RUE GEORGETTE AGUTTE - PARIS 18",489,"COLLÈGE HECTOR BERLIOZ","17","RUE GEORGETTE AGUTTE",18,750079456
"489",490,"ECOLE MATERNELLE 9 RUE FRANC NOHAIN - PARIS 13",490,"ECOLE MATERNELLE","9","RUE FRANC NOHAIN",13,750069745
"490",491,"ECOLE ÉLÉMENTAIRE 9 RUE FRANC NOHAIN - PARIS 13",491,"ECOLE ÉLÉMENTAIRE","9","RUE FRANC NOHAIN",13,750069745
"491",492,"COLLÈGE CAMILLE CLAUDEL 4 BIS AVENUE DE CHOISY - PARIS 13",492,"COLLÈGE CAMILLE CLAUDEL","4BIS","AV DE CHOISY",13,750068147
"492",493,"ECOLE MATERNELLE 4B AVENUE DE CHOISY - PARIS 13",493,"ECOLE MATERNELLE","4B","AV DE CHOISY",13,750068147
"493",494,"ECOLE ÉLÉMENTAIRE A 47 AVENUE D'IVRY (ECOLE A) - PARIS 13",494,"ECOLE ÉLÉMENTAIRE A","47","AV D'IVRY (ECOLE A)",13,750070739
"494",495,"ECOLE ÉLÉMENTAIRE B 47 AVENUE D'IVRY (ECOLE B) - PARIS 13",495,"ECOLE ÉLÉMENTAIRE B","47","AV D'IVRY (ECOLE B)",13,750070739
"495",496,"ECOLE ÉLÉMENTAIRE 15 RUE HOUDON - PARIS 18",496,"ECOLE ÉLÉMENTAIRE","15","RUE HOUDON",18,750079848
"496",497,"ECOLE MATERNELLE 1 RUE PAUL ABADIE - PARIS 18",497,"ECOLE MATERNELLE","1","RUE PAUL ABADIE",18,750156555
"497",498,"ECOLE ÉLÉMENTAIRE 129 RUE BELLIARD - PARIS 18",498,"ECOLE ÉLÉMENTAIRE","129","RUE BELLIARD",18,750075834
"498",499,"ECOLE ÉLÉMENTAIRE 15 RUE DE LANCRY - PARIS 10",499,"ECOLE ÉLÉMENTAIRE","15","RUE DE LANCRY",10,750097135
"499",500,"ECOLE ÉLÉMENTAIRE 236 RUE DE BELLEVILLE - PARIS 20",500,"ECOLE ÉLÉMENTAIRE","236","RUE DE BELLEVILLE",20,750086698
"500",501,"ECOLE ÉLÉMENTAIRE 26 RUE DU MONT CENIS - PARIS 18",501,"ECOLE ÉLÉMENTAIRE","26","RUE DU MONT CENIS",18,750081790
"501",502,"ECOLE MATERNELLE 155 AVENUE PARMENTIER - PARIS 10",502,"ECOLE MATERNELLE","155","AV PARMENTIER",10,750048707
"502",503,"ECOLE ÉLÉMENTAIRE 159 AVENUE PARMENTIER - PARIS 10",503,"ECOLE ÉLÉMENTAIRE","159","AV PARMENTIER",10,750048709
"503",504,"ECOLE ÉLÉMENTAIRE 2 PLACE DES 44 ENFANTS D'IZIEU - PARIS 13",504,"ECOLE ÉLÉMENTAIRE","2","PL DES QUARANTE-QUATRE ENFANTS D'IZIEU",13,750164555
"504",505,"ECOLE MATERNELLE 20 RUE DES CENDRIERS - PARIS 20",505,"ECOLE MATERNELLE","20","RUE DES CENDRIERS",20,750087370
"505",506,"ECOLE ÉLÉMENTAIRE 9 RUE DE TLEMCEN - PARIS 20",506,"ECOLE ÉLÉMENTAIRE","9","RUE DE TLEMCEN",20,750095904
"506",507,"COLLÈGE LUCIE FAURE 40 RUE DES PYRENEES - PARIS 20",507,"COLLÈGE LUCIE FAURE","40","RUE DES PYRENEES",20,750094396
"507",508,"ECOLE MATERNELLE 103 RUE CHATEAU DES RENTIERS - PARIS 13",508,"ECOLE MATERNELLE","103","RUE CHATEAU DES RENTIERS",13,750097301
"508",509,"ECOLE ÉLÉMENTAIRE A 53 RUE BAUDRICOURT - PARIS 13",509,"ECOLE ÉLÉMENTAIRE A","53","RUE BAUDRICOURT",13,750066637
"509",510,"ECOLE ÉLÉMENTAIRE B 55 RUE BAUDRICOURT - PARIS 13",510,"ECOLE ÉLÉMENTAIRE B","55","RUE BAUDRICOURT",13,750066638
"510",511,"ECOLE MATERNELLE 3 RUE SAINT LUC - PARIS 18",511,"ECOLE MATERNELLE","3","RUE SAINT LUC",18,750084453
"511",512,"COLLÈGE MARX DORMOY 55 RUE MARX DORMOY - PARIS 18",512,"COLLÈGE MARX DORMOY","55","RUE MARX DORMOY",18,750081492
"512",513,"ECOLE MATERNELLE 7 RUE DE TORCY - PARIS 18",513,"ECOLE MATERNELLE","7","RUE DE TORCY",18,750085148
"513",514,"ECOLE ÉLÉMENTAIRE 2 RUE DE LA GUADELOUPE - PARIS 18",514,"ECOLE ÉLÉMENTAIRE","2","RUE DE LA GUADELOUPE",18,750079659
"514",515,"ECOLE ÉLÉMENTAIRE 5 RUE DE TORCY - PARIS 18",515,"ECOLE ÉLÉMENTAIRE","5","RUE DE TORCY",18,750085147
"515",516,"ECOLE ÉLÉMENTAIRE 16 RUE DE MONTEMPOIVRE - PARIS 12",516,"ECOLE ÉLÉMENTAIRE","16","RUE DE MONTEMPOIVRE",12,750062448
"516",517,"ECOLE MATERNELLE 9 RUE DES TOURELLES - PARIS 20",517,"ECOLE MATERNELLE","9","RUE DES TOURELLES",20,750095984
"517",518,"ECOLE MATERNELLE 39 RUE DE TOURTILLE - PARIS 20",518,"ECOLE MATERNELLE","39","RUE DE TOURTILLE",20,750096016
"518",519,"ECOLE MATERNELLE 19 RUE DES AMIRAUX - PARIS 18",519,"ECOLE MATERNELLE","19","RUE DES AMIRAUX",18,750075299
"519",520,"ECOLE ÉLÉMENTAIRE 7 RUE CHAMPIONNET - PARIS 18",520,"ECOLE ÉLÉMENTAIRE","7","RUE CHAMPIONNET",18,750076676
"520",521,"ECOLE MATERNELLE 14 RUE SIMPLON - PARIS 18",521,"ECOLE MATERNELLE","14","RUE SIMPLON",18,750084817
"521",522,"COLLÈGE MARIE CURIE 21/23 RUE BOINOD - PARIS 18",522,"COLLÈGE MARIE CURIE","21/23","RUE BOINOD",18,750075978
"522",523,"COLLÈGE FRANCOISE DOLTO 354 RUE DES PYRENEES - PARIS 20",523,"COLLÈGE FRANCOISE DOLTO","354","RUE DES PYRENEES",20,750094242
"523",524,"ECOLE MATERNELLE 3 RUE FERDINAND FLOCON - PARIS 18",524,"ECOLE MATERNELLE","3","RUE FERDINAND FLOCON",18,750079058
"524",525,"ECOLE ÉLÉMENTAIRE 5 RUE FERDINAND FLOCON - PARIS 18",525,"ECOLE ÉLÉMENTAIRE","5","RUE FERDINAND FLOCON",18,750079059
"525",526,"ECOLE MATERNELLE 5 RUE SIMONE WEIL - PARIS 13",526,"ECOLE MATERNELLE","5","RUE SIMONE WEIL",13,750073862
"526",527,"ECOLE ÉLÉMENTAIRE 142 RUE DES POISSONNIERS - PARIS 18",527,"ECOLE ÉLÉMENTAIRE","142","RUE DES POISSONNIERS",18,750083357
"527",528,"ECOLE MATERNELLE 57 RUE DE LA GOUTTE D'OR - PARIS 18",528,"ECOLE MATERNELLE","57","RUE DE LA GOUTTE D'OR",18,750079584
"528",529,"ECOLE ÉLÉMENTAIRE 9 RUE RICHOMME - PARIS 18",529,"ECOLE ÉLÉMENTAIRE","9","RUE RICHOMME",18,750084016
"529",530,"COLLÈGE ROLAND DORGELES 63 RUE DE CLIGNANCOURT - PARIS 18",530,"COLLÈGE ROLAND DORGELES","63","RUE DE CLIGNANCOURT",18,750077527
"530",531,"COLLÈGE GEORGES CLEMENCEAU 43 RUE DES POISSONNIERS - PARIS 18",531,"COLLÈGE GEORGES CLEMENCEAU","43","RUE DES POISSONNIERS",18,750083257
"531",532,"ECOLE MATERNELLE 32 RUE OLIVIER METRA - PARIS 20",532,"ECOLE MATERNELLE","32","RUE OLIVIER METRA",20,750092416
"532",533,"ECOLE MATERNELLE 29 RUE OLIVIER METRA - PARIS 20",533,"ECOLE MATERNELLE","29","RUE OLIVIER METRA",20,750092390
"533",534,"ECOLE MATERNELLE 32-34 RUE OLIVIER METRA - PARIS 20",534,"ECOLE MATERNELLE","32-34","RUE OLIVIER METRA",20,750092416
"534",535,"ECOLE ÉLÉMENTAIRE A 24 RUE OLIVIER METRA - PARIS 20",535,"ECOLE ÉLÉMENTAIRE A","24","RUE OLIVIER METRA",20,750092412
"535",536,"ECOLE ÉLÉMENTAIRE B 22 RUE OLIVIER METRA - PARIS 20",536,"ECOLE ÉLÉMENTAIRE B","22","RUE OLIVIER METRA",20,750092411
"536",537,"ECOLE MATERNELLE 90 RUE DES AMANDIERS - PARIS 20",537,"ECOLE MATERNELLE","90","RUE DES AMANDIERS",20,750085883
"537",538,"ECOLE ÉLÉMENTAIRE 103-111 RUE DES AMANDIERS - PARIS 20",538,"ECOLE ÉLÉMENTAIRE","103-111","RUE DES AMANDIERS",20,750085811
"538",539,"ECOLE ÉLÉMENTAIRE 103 AVENUE GAMBETTA - PARIS 20",539,"ECOLE ÉLÉMENTAIRE","103","AV GAMBETTA",20,750089351
"539",540,"ECOLE ÉLÉMENTAIRE A 33 PLACE JEANNE D'ARC - PARIS 13",540,"ECOLE ÉLÉMENTAIRE A","33","PL JEANNE D'ARC",13,750070917
