"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3765","2915","RUE DU","DOME",0,"",9999,"","p","Ecole maternelle 20 RUE PAUL VALERY - PARIS 16"
"3766","2916","RUE","DOMINIQUE PADO",0,"",9999,"","i","Ecole maternelle 2 RUE THEODORE DECK - PARIS 15"
"3767","2916","RUE","DOMINIQUE PADO",0,"",9999,"","p","Ecole maternelle 2 RUE THEODORE DECK - PARIS 15"
"3768","2917","RUE DE","DOMREMY",0,"",23,"","i","Ecole maternelle 15 RUE DE DOMREMY - PARIS 13"
"3769","2917","RUE DE","DOMREMY",23,"",9999,"","i","Ecole maternelle 32 PLACE JEANNE D'ARC - PARIS 13"
"3770","2917","RUE DE","DOMREMY",0,"",30,"","p","Ecole maternelle 15 RUE DE DOMREMY - PARIS 13"
"3771","2917","RUE DE","DOMREMY",30,"",9999,"","p","Ecole maternelle 32 PLACE JEANNE D'ARC - PARIS 13"
"3772","2919","RUE","DONIZETTI",0,"",9999,"","i","Ecole maternelle 38 RUE DES PERCHAMPS - PARIS 16"
"3773","2919","RUE","DONIZETTI",0,"",6,"","p","Ecole maternelle 38 RUE DES PERCHAMPS - PARIS 16"
"3774","2919","RUE","DONIZETTI",6,"",9999,"","p","Ecole maternelle 38 RUE DES PERCHAMPS - PARIS 16"
"3775","2923","SQUARE DE LA","DORDOGNE",0,"",9999,"","i","Ecole maternelle 8 RUE DES TAPISSERIES - PARIS 17"
"3776","2923","SQUARE DE LA","DORDOGNE",0,"",9999,"","p","Ecole maternelle 8 RUE DES TAPISSERIES - PARIS 17"
"3777","2925","SENTE DES","DOREES",0,"",9999,"","i","Ecole maternelle 5 RUE DU NOYER DURAND - PARIS 19"
"3778","2925","SENTE DES","DOREES",0,"",9999,"","p","Ecole maternelle 5 RUE DU NOYER DURAND - PARIS 19"
"3779","2927","AVENUE","DORIAN",0,"",9999,"","i","Ecole maternelle 56 RUE DE PICPUS - PARIS 12"
"3780","2927","AVENUE","DORIAN",0,"",9999,"","p","Ecole maternelle 56 RUE DE PICPUS - PARIS 12"
"3781","2928","RUE","DORIAN",0,"",9999,"","i","Ecole maternelle 59 RUE DE REUILLY - PARIS 12"
"3782","2928","RUE","DORIAN",0,"",9999,"","p","Ecole maternelle 59 RUE DE REUILLY - PARIS 12"
"3783","2930","RUE","DOSNE",0,"",9999,"","i","Ecole élémentaire 3 IMPASSE DES BELLES FEUILLES - PARIS 16"
"3784","2930","RUE","DOSNE",0,"",9999,"","p","Ecole élémentaire 3 IMPASSE DES BELLES FEUILLES - PARIS 16"
"3785","2932","RUE DE","DOUAI",0,"",9999,"","i","Ecole maternelle 12 RUE CHAPTAL - PARIS 09"
"3786","2932","RUE DE","DOUAI",0,"",9999,"","p","Ecole maternelle 12 RUE CHAPTAL - PARIS 09"
