"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"10327","7017","SQUARE","PASTEUR",0,"",9999,"","i","Ecole élémentaire 19 RUE BLOMET - PARIS 15"
"10328","7017","SQUARE","PASTEUR",0,"",9999,"","p","Ecole élémentaire 19 RUE BLOMET - PARIS 15"
"10329","7018","BOULEVARD","PASTEUR",0,"",9999,"","i","Ecole élémentaire 19 RUE BLOMET - PARIS 15"
"10330","7018","BOULEVARD","PASTEUR",0,"",16,"","p","Ecole élémentaire 19 RUE BLOMET - PARIS 15"
"10331","7018","BOULEVARD","PASTEUR",16,"",9999,"","p","Ecole élémentaire B 11 RUE VIGEE LEBRUN - PARIS 15"
"10332","7018","BOULEVARD","PASTEUR",16,"",9999,"","p","Ecole élémentaire A 17 RUE VIGEE LEBRUN - PARIS 15"
"10333","7019","RUE","PASTEUR",0,"",9999,"","i","Ecole élémentaire 1 RUE PIHET - PARIS 11"
"10334","7019","RUE","PASTEUR",0,"",9999,"","p","Ecole élémentaire 1 RUE PIHET - PARIS 11"
"10335","7020","RUE DU","PASTEUR WAGNER",0,"",9999,"","i","Ecole élémentaire 13 RUE FROMENT - PARIS 11"
"10336","7020","RUE DU","PASTEUR WAGNER",0,"",9999,"","p","Ecole élémentaire 13 RUE FROMENT - PARIS 11"
"10337","7021","RUE DU","PASTEUR MARC BOEGNER",0,"",9999,"","i","Ecole élémentaire 4 RUE DECAMPS - PARIS 16"
"10338","7021","RUE DU","PASTEUR MARC BOEGNER",0,"",9999,"","p","Ecole élémentaire 4 RUE DECAMPS - PARIS 16"
"10339","7022","RUE","PASTOURELLE",0,"",9999,"","i","Ecole élémentaire 10B RUE DES QUATRE FILS - PARIS 03"
"10340","7022","RUE","PASTOURELLE",0,"",9999,"","p","Ecole élémentaire 10B RUE DES QUATRE FILS - PARIS 03"
"10341","7024","RUE DE","PATAY",0,"",9999,"","i","Ecole élémentaire 9 RUE FRANC NOHAIN - PARIS 13"
"10342","7024","RUE DE","PATAY",0,"",32,"","p","Ecole élémentaire 9 RUE FRANC NOHAIN - PARIS 13"
"10343","7024","RUE DE","PATAY",32,"",9999,"","p","Ecole élémentaire 37 RUE DU CHATEAU DES RENTIERS - PARIS 13"
"10344","7024","RUE DE","PATAY",32,"",9999,"","p","Ecole élémentaire 40 RUE DU CHATEAU DES RENTIERS - PARIS 13"
"10345","7026","SQUARE","PATENNE",0,"",9999,"","i","Ecole élémentaire 40 RUE DES PYRENEES - PARIS 20"
