"","N_SQ_AD","maternelle"
"505",750065149,4
"506",750063186,4
"507",750063182,4
"508",750063179,4
"509",750065579,4
"510",750059636,4
"511",750065582,4
"512",750065175,4
"513",750059641,4
"514",750065263,4
"515",750063188,4
"516",750065583,4
"517",750065180,4
"518",750143829,4
"519",750063191,4
"520",750065580,4
"521",750143833,4
"522",750065587,4
"523",750167494,4
"524",750065257,4
"525",750155137,4
"526",750065159,4
"527",750065584,4
"528",750058756,4
"529",750063189,4
"530",750141775,4
"531",750065251,4
"532",750065266,4
"533",750065178,4
"534",750063187,4
"535",750065160,4
"536",750172725,4
"537",750065574,4
"538",750063222,4
"539",750065269,4
"540",750065262,4
"541",750065249,4
"542",750065585,4
"543",750063207,4
"544",750063185,4
"545",750065179,4
"546",750063192,4
"547",750059649,4
"548",750060389,4
"549",750065169,4
"550",750141794,4
"551",750143834,4
"552",750065566,4
"553",750059654,4
"554",750143835,4
"555",750143832,4
"556",750058757,4
"557",750065185,4
"558",750063368,4
"559",750059637,4
"560",750065260,4
"561",750065183,4
"562",750063184,4
"563",750063220,4
"564",750063193,4
"565",750063200,4
"566",750143826,4
"567",750065586,4
"568",750172727,4
"569",750063374,4
"570",750058754,4
"571",750065173,4
"572",750167492,4
"573",750065154,4
"574",750065565,4
"575",750143831,4
"576",750141805,4
"577",750063205,4
"578",750065177,4
"579",750065176,4
"580",750065182,4
"581",750065166,4
"582",750063219,4
"583",750065572,4
"584",750065256,4
"585",750143827,4
"586",750063203,4
"587",750063180,4
"588",750059648,4
"589",750065181,4
"590",750063196,4
"591",750065255,4
"592",750063211,4
"593",750063210,4
"594",750065156,4
"595",750063372,4
"596",750143825,4
"597",750059638,4
"598",750065259,4
"599",750059639,4
"600",750167491,4
"601",750063194,4
"602",750063217,4
"603",750065570,4
"604",750065573,4
"605",750063209,4
"606",750059643,4
"607",750063366,4
"608",750065569,4
"609",750063369,4
"610",750065265,4
"611",750063371,4
"612",750065567,4
"613",750065151,4
"614",750065155,4
"615",750063201,4
"616",750141808,4
"617",750141804,4
"618",750143828,4
"619",750063183,4
"620",750063214,4
"621",750063177,4
"622",750063212,4
"623",750065267,4
"624",750059653,4
"625",750065253,4
"626",750065268,4
"627",750065162,4
"628",750065170,4
"629",750063190,4
"630",750165346,4
"631",750065184,4
"632",750063195,4
"633",750065171,4
"634",750059647,4
"635",750063216,4
"636",750058755,4
"637",750065252,4
"638",750143830,4
"639",750063365,4
"640",750157581,4
"641",750063197,4
"642",750163455,4
"643",750065165,4
"644",750065571,4
"645",750162128,4
"646",750059642,4
"647",750065270,4
"648",750063198,4
"649",750065581,4
"650",750065147,4
"651",750063218,4
"652",750063363,4
"653",750172729,4
"654",750141797,4
"655",750065152,4
"656",750141800,4
"657",750165347,4
"658",750065167,4
"659",750165348,4
"660",750065153,4
"661",750065568,4
"662",750059646,4
"663",750063181,4
"664",750063213,4
"665",750065258,4
"666",750141806,4
"667",750063204,4
"668",750059640,4
"669",750141798,4
"670",750065157,4
"671",750141810,4
"672",750141795,4
"673",750060388,4
"674",750063373,4
"675",750167490,4
"676",750172731,4
"677",750167493,4
"678",750141809,4
"679",750065172,4
"680",750063206,4
"681",750063364,4
"682",750141802,4
"683",750065271,4
"684",750063370,4
"685",750065150,4
"686",750065261,4
"687",750141811,4
"688",750063367,4
"689",750172730,4
"690",750167496,4
"691",750063202,4
"692",750058659,4
"693",750065148,4
"694",750065264,4
"695",750059652,4
"696",750065174,4
"697",750058661,4
"698",750172726,4
"699",750065161,4
"700",750058657,4
"701",750065168,4
"702",750167495,4
"703",750063221,4
"704",750172728,4
"705",750065254,4
"706",750059651,4
"707",750141801,4
"708",750141807,4
"709",750065163,4
"710",750063215,4
"711",750063199,4
"712",750063208,4
"713",750065578,4
"714",750141799,4
"715",750058662,4
"716",750059650,4
"717",750060387,4
"718",750100516,7
"719",750164123,7
"720",750104756,7
"721",750101035,7
"722",750105576,7
"723",750105666,7
"724",750105551,7
"725",750103372,7
"726",750105557,7
"727",750100360,7
"728",750165552,7
"729",750100300,7
"730",750103354,7
"731",750100533,7
"732",750105324,7
"733",750101261,7
"734",750106109,7
"735",750103358,7
"736",750100514,7
"737",750103360,7
"738",750102644,7
"739",750105553,7
"740",750156769,7
"741",750103367,7
"742",750106065,7
"743",750101024,7
"744",750100301,7
"745",750100521,7
"746",750105327,7
"747",750174111,7
"748",750100336,7
"749",750103351,7
"750",750101029,7
"751",750103345,7
"752",750103356,7
"753",750101272,7
"754",750103369,7
"755",750102646,7
"756",750106114,7
"757",750105682,7
"758",750103355,7
"759",750105687,7
"760",750100523,7
"761",750100332,7
"762",750105661,7
"763",750101265,7
"764",750100321,7
"765",750101039,7
"766",750101187,7
"767",750101580,7
"768",750103347,7
"769",750140784,7
"770",750104754,7
"771",750100518,7
"772",750105284,7
"773",750105282,7
"774",750100330,7
"775",750105525,7
"776",750101257,7
"777",750156644,7
"778",750140787,7
"779",750105663,7
"780",750106406,7
"781",750105322,7
"782",750105288,7
"783",750105526,7
"784",750105680,7
"785",750156635,7
"786",750100329,7
"787",750102643,7
"788",750100296,7
"789",750152175,7
"790",750106085,7
"791",750100359,7
"792",750105575,7
"793",750101270,7
"794",750103352,7
"795",750166749,7
"796",750105669,7
"797",750105521,7
"798",750100361,7
"799",750103364,7
"800",750102647,7
"801",750105524,7
"802",750100337,7
"803",750100297,7
"804",750101043,7
"805",750100325,7
"806",750101045,7
"807",750101031,7
"808",750105518,7
"809",750104760,7
"810",750164234,7
"811",750101268,7
"812",750103353,7
"813",750105542,7
"814",750100294,7
"815",750164977,7
"816",750105519,7
"817",750106116,7
"818",750106419,7
"819",750100312,7
"820",750105564,7
"821",750105555,7
"822",750105562,7
"823",750100302,7
"824",750102645,7
"825",750100324,7
"826",750174112,7
"827",750103370,7
"828",750105673,7
"829",750103863,7
"830",750144627,7
"831",750105323,7
"832",750105320,7
"833",750100313,7
"834",750101264,7
"835",750105283,7
"836",750103348,7
"837",750102648,7
"838",750100527,7
"839",750100311,7
"840",750105280,7
"841",750103357,7
"842",750164198,7
"843",750102649,7
"844",750101582,7
"845",750101191,7
"846",750105285,7
"847",750106080,7
"848",750105523,7
"849",750101026,7
"850",750103865,7
"851",750103375,7
"852",750101584,7
"853",750105522,7
"854",750106078,7
"855",750105672,7
"856",750100530,7
"857",750105541,7
"858",750100308,7
"859",750106075,7
"860",750100319,7
"861",750101581,7
"862",750105316,7
"863",750103866,7
"864",750103871,7
"865",750105582,7
"866",750100334,7
"867",750105326,7
"868",750103365,7
"869",750101256,7
"870",750106081,7
"871",750106112,7
"872",750101271,7
"873",750101267,7
"874",750105563,7
"875",750143731,7
"876",750103346,7
"877",750100343,7
"878",750106072,7
"879",750103362,7
"880",750105321,7
"881",750156653,7
"882",750100346,7
"883",750105520,7
"884",750167818,7
"885",750099478,7
"886",750101209,7
"887",750100350,7
"888",750101193,7
"889",750101042,7
"890",750100331,7
"891",750100327,7
"892",750100519,7
"893",750100526,7
"894",750105579,7
"895",750105585,7
"896",750100298,7
"897",750100362,7
"898",750106410,7
"899",750105580,7
"900",750106416,7
"901",750156637,7
"902",750106422,7
"903",750105531,7
"904",750100304,7
"905",750103366,7
"906",750105567,7
"907",750101577,7
"908",750100356,7
"909",750105571,7
"910",750100293,7
"911",750105286,7
"912",750105683,7
"913",750105589,7
"914",750101269,7
"915",750105584,7
"916",750105578,7
"917",750103371,7
"918",750105516,7
"919",750105281,7
"920",750156650,7
"921",750143730,7
"922",750101032,7
"923",750106082,7
"924",750105537,7
"925",750100522,7
"926",750101185,7
"927",750101579,7
"928",750101180,7
"929",750101034,7
"930",750106068,7
"931",750105688,7
"932",750101274,7
"933",750105318,7
"934",750105675,7
"935",750099477,7
"936",750106073,7
"937",750100310,7
"938",750106102,7
"939",750158400,7
"940",750106411,7
"941",750100351,7
"942",750104764,7
"943",750156634,7
"944",750100317,7
"945",750100348,7
"946",750144624,7
"947",750165503,7
"948",750099684,7
"949",750100320,7
"950",750100322,7
"951",750146359,7
"952",750101190,7
"953",750100333,7
"954",750105527,7
"955",750106106,7
"956",750105534,7
"957",750106069,7
"958",750100328,7
"959",750101262,7
"960",750156646,7
"961",750101266,7
"962",750105287,7
"963",750100354,7
"964",750105679,7
"965",750101197,7
"966",750101030,7
"967",750103875,7
"968",750171540,7
"969",750103868,7
"970",750101258,7
"971",750100318,7
"972",750105549,7
"973",750150776,7
"974",750105660,7
"975",750152176,7
"976",750100364,7
"977",750105587,7
"978",750106409,7
"979",750156636,7
"980",750106103,7
"981",750106414,7
"982",750100323,7
"983",750100306,7
"984",750103376,7
"985",750156640,7
"986",750156633,7
"987",750106089,7
"988",750100303,7
"989",750099689,7
"990",750106079,7
"991",750101260,7
"992",750167097,7
"993",750099706,7
"994",750156631,7
"995",750105590,7
"996",750100347,7
"997",750100344,7
"998",750101586,7
"999",750106090,7
"1000",750105556,7
"1001",750101263,7
"1002",750101028,7
"1003",750101044,7
"1004",750105662,7
"1005",750102246,7
"1006",750106092,7
"1007",750100524,7
"1008",750101037,7
"1009",750103872,7
"1010",750105538,7
"1011",750100345,7
"1012",750099699,7
"1013",750100532,7
"1014",750105674,7
"1015",750105536,7
"1016",750102058,7
"1017",750106405,7
"1018",750106417,7
"1019",750106423,7
"1020",750106418,7
"1021",750156679,7
"1022",750099685,7
"1023",750099707,7
"1024",750103874,7
"1025",750105676,7
"1026",750103349,7
"1027",750106108,7
"1028",750106066,7
"1029",750103363,7
"1030",750100525,7
"1031",750105668,7
"1032",750105685,7
"1033",750105540,7
"1034",750099751,7
"1035",750103873,7
"1036",750105558,7
"1037",750100338,7
"1038",750105532,7
"1039",750104758,7
"1040",750105529,7
"1041",750101273,7
"1042",750105592,7
"1043",750105530,7
"1044",750156647,7
"1045",750105315,7
"1046",750101196,7
"1047",750158384,7
"1048",750100315,7
"1049",750158383,7
"1050",750099758,7
"1051",750100340,7
"1052",750099698,7
"1053",750101038,7
"1054",750106088,7
"1055",750101033,7
"1056",750105591,7
"1057",750099682,7
"1058",750106412,7
"1059",750099687,7
"1060",750106087,7
"1061",750099683,7
"1062",750105554,7
"1063",750106105,7
"1064",750099704,7
"1065",750105681,7
"1066",750100358,7
"1067",750156645,7
"1068",750105550,7
"1069",750104768,7
"1070",750148067,7
"1071",750100353,7
"1072",750103862,7
"1073",750106084,7
"1074",750101218,7
"1075",750101200,7
"1076",750101182,7
"1077",750105513,7
"1078",750106107,7
"1079",750105535,7
"1080",750156651,7
"1081",750156649,7
"1082",750105514,7
"1083",750101259,7
"1084",750105328,7
"1085",750099692,7
"1086",750101176,7
"1087",750102253,7
"1088",750099690,7
"1089",750100529,7
"1090",750099763,7
"1091",750144623,7
"1092",750167819,7
"1093",750099703,7
"1094",750105543,7
"1095",750106077,7
"1096",750101036,7
"1097",750100314,7
"1098",750171541,7
"1099",750102059,7
"1100",750106111,7
"1101",750099693,7
"1102",750156639,7
"1103",750156641,7
"1104",750105606,7
"1105",750106117,7
"1106",750156678,7
"1107",750103374,7
"1108",750105581,7
"1109",750156643,7
"1110",750101189,7
"1111",750099679,7
"1112",750105588,7
"1113",750103870,7
"1114",750100531,7
"1115",750148066,7
"1116",750101183,7
"1117",750105678,7
"1118",750101255,7
"1119",750100307,7
"1120",750156648,7
"1121",750143885,7
"1122",750105325,7
"1123",750105570,7
"1124",750099702,7
"1125",750099756,7
"1126",750102232,7
"1127",750100326,7
"1128",750099767,7
"1129",750099757,7
"1130",750101583,7
"1131",750106067,7
"1132",750146357,7
"1133",750167817,7
"1134",750099686,7
"1135",750105574,7
"1136",750105560,7
"1137",750100309,7
"1138",750101195,7
"1139",750106424,7
"1140",750103864,7
"1141",750099705,7
"1142",750099688,7
"1143",750105686,7
"1144",750156638,7
"1145",750105684,7
"1146",750099479,7
"1147",750144626,7
"1148",750103361,7
"1149",750103368,7
"1150",750100528,7
"1151",750103359,7
"1152",750147883,7
"1153",750100517,7
"1154",750101181,7
"1155",750102228,7
"1156",750101178,7
"1157",750105317,7
"1158",750105577,7
"1159",750106095,7
"1160",750101575,7
"1161",750105552,7
"1162",750105586,7
"1163",750106097,7
"1164",750101177,7
"1165",750100512,7
"1166",750099762,7
"1167",750101047,7
"1168",750101027,7
"1169",750100520,7
"1170",750101214,7
"1171",750147618,7
"1172",750105599,7
"1173",750105319,7
"1174",750102060,7
"1175",750106425,7
"1176",750106070,7
"1177",750101202,7
"1178",750099701,7
"1179",750100349,7
"1180",750101206,7
"1181",750101576,7
"1182",750099760,7
"1183",750106100,7
"1184",750105665,7
"1185",750105664,7
"1186",750099681,7
"1187",750101205,7
"1188",750164055,7
"1189",750105572,7
"1190",750106074,7
"1191",750106083,7
"1192",750101212,7
"1193",750099695,7
"1194",750101588,7
"1195",750101199,7
"1196",750102251,7
"1197",750101046,7
"1198",750106094,7
"1199",750100355,7
"1200",750156680,7
"1201",750099765,7
"1202",750099691,7
"1203",750105667,7
"1204",750101041,7
"1205",750105573,7
"1206",750100515,7
"1207",750105528,7
"1208",750146364,7
"1209",750146358,7
"1210",750099761,7
"1211",750102250,7
"1212",750105602,7
"1213",750105601,7
"1214",750105671,7
"1215",750100316,7
"1216",750100339,7
"1217",750099750,7
"1218",750101215,7
"1219",750101207,7
"1220",750106421,7
"1221",750101211,7
"1222",750156632,7
"1223",750101217,7
"1224",750105610,7
"1225",750105613,7
"1226",750101210,7
"1227",750105517,7
"1228",750173462,7
"1229",750169403,7
"1230",750103867,7
"1231",750101188,7
"1232",750104761,7
"1233",750103373,7
"1234",750106099,7
"1235",750101213,7
"1236",750102239,7
"1237",750099764,7
"1238",750101040,7
"1239",750102236,7
"1240",750101186,7
"1241",750101025,7
"1242",750101585,7
"1243",750102245,7
"1244",750099766,7
"1245",750106091,7
"1246",750146835,7
"1247",750105565,7
"1248",750106420,7
"1249",750102237,7
"1250",750101578,7
"1251",750105604,7
"1252",750099769,7
"1253",750146361,7
"1254",750100357,7
"1255",750101175,7
"1256",750101192,7
"1257",750105598,7
"1258",750100363,7
"1259",750099752,7
"1260",750106408,7
"1261",750101216,7
"1262",750101184,7
"1263",750103869,7
"1264",750147885,7
"1265",750156642,7
"1266",750102242,7
"1267",750101179,7
"1268",750101203,7
"1269",750105278,7
"1270",750105670,7
"1271",750103350,7
"1272",750099696,7
"1273",750101204,7
"1274",750105620,7
"1275",750100490,7
"1276",750105618,7
"1277",750102244,7
"1278",750100352,7
"1279",750146362,7
"1280",750105597,7
"1281",750099753,7
"1282",750156652,7
"1283",750099754,7
"1284",750102227,7
"1285",750099759,7
"1286",750099680,7
"1287",750100295,7
"1288",750106098,7
"1289",750105533,7
"1290",750105559,7
"1291",750100513,7
"1292",750104755,7
"1293",750102233,7
"1294",750105515,7
"1295",750101201,7
"1296",750101198,7
"1297",750102226,7
"1298",750099700,7
"1299",750100491,7
"1300",750100492,7
"1301",750105607,7
"1302",750106413,7
"1303",750106110,7
"1304",750100488,7
"1305",750105677,7
"1306",750104765,7
"1307",750104769,7
"1308",750101587,7
"1309",750102230,7
"1310",750099694,7
"1311",750146366,7
"1312",750105569,7
"1313",750102248,7
"1314",750105616,7
"1315",750100489,7
"1316",750105614,7
"1317",750177060,7
"1318",750102243,7
"1319",750105609,7
"1320",750099768,7
"1321",750105539,7
"1322",750151627,7
"1323",750101194,7
"1324",750102238,7
"1325",750106096,7
"1326",750105617,7
"1327",750100484,7
"1328",750147887,7
"1329",750106093,7
"1330",750106407,7
"1331",750099755,7
"1332",750104763,7
"1333",750104766,7
"1334",750102241,7
"1335",750100342,7
"1336",750102225,7
"1337",750144625,7
"1338",750105583,7
"1339",750105611,7
"1340",750105622,7
"1341",750099697,7
"1342",750102240,7
"1343",750146367,7
"1344",750102247,7
"1345",750106071,7
"1346",750146365,7
"1347",750102229,7
"1348",750102235,7
"1349",750104767,7
"1350",750146363,7
"1351",750106086,7
"1352",750147886,7
"1353",750102234,7
"1354",750105621,7
"1355",750102252,7
"1356",750105608,7
"1357",750106115,7
"1358",750105603,7
"1359",750104757,7
"1360",750105619,7
"1361",750105566,7
"1362",750148096,7
"1363",750102249,7
"1364",750105615,7
"1365",750102231,7
"1366",750106104,7
"1367",750104759,7
"1368",750099749,7
"1369",750104762,7
"1370",750105612,7
"1371",750147884,7
"1372",750106076,7
"1373",750146360,7
"1374",750164585,10
"1375",750151559,10
"1376",750151506,10
"1377",750174036,10
"1378",750171528,10
"1379",750167889,10
"1380",750164565,10
"1381",750172704,10
"1382",750171605,10
"1383",750174038,10
"1384",750164596,10
"1385",750174030,10
"1386",750172711,10
"1387",750172976,10
"1388",750171638,10
"1389",750171608,10
"1390",750166810,10
"1391",750171482,10
"1392",750176138,10
"1393",750174033,10
"1394",750164569,10
"1395",750167955,10
"1396",750164590,10
"1397",750172925,10
"1398",750151540,10
"1399",750164584,10
"1400",750067227,10
"1401",750164598,10
"1402",750164589,10
"1403",750151504,10
"1404",750067921,10
"1405",750172961,10
"1406",750171604,10
"1407",750164597,10
"1408",750164573,10
"1409",750171476,10
"1410",750167258,10
"1411",750151509,10
"1412",750174032,10
"1413",750164587,10
"1414",750167259,10
"1415",750167474,10
"1416",750164580,10
"1417",750174037,10
"1418",750067202,10
"1419",750151542,10
"1420",750171601,10
"1421",750070846,10
"1422",750167473,10
"1423",750174743,10
"1424",750067206,10
"1425",750174739,10
"1426",750164594,10
"1427",750167470,10
"1428",750164577,10
"1429",750151573,10
"1430",750164599,10
"1431",750171607,10
"1432",750067201,10
"1433",750070855,10
"1434",750167956,10
"1435",750171481,10
"1436",750070860,10
"1437",750171516,10
"1438",750151541,10
"1439",750167928,10
"1440",750151507,10
"1441",750143867,10
"1442",750164578,10
"1443",750171613,10
"1444",750174040,10
"1445",750171606,10
"1446",750171525,10
"1447",750171602,10
"1448",750171486,10
"1449",750171603,10
"1450",750173927,10
"1451",750167471,10
"1452",750171523,10
"1453",750171521,10
"1454",750171585,10
"1455",750151781,10
"1456",750151574,10
"1457",750164595,10
"1458",750070862,10
"1459",750173926,10
"1460",750171534,10
"1461",750151505,10
"1462",750171611,10
"1463",750174784,10
"1464",750167922,10
"1465",750174740,10
"1466",750174742,10
"1467",750167927,10
"1468",750070849,10
"1469",750070863,10
"1470",750174034,10
"1471",750173925,10
"1472",750070848,10
"1473",750070858,10
"1474",750174035,10
"1475",750067200,10
"1476",750167257,10
"1477",750173072,10
"1478",750176136,10
"1479",750071569,10
"1480",750070857,10
"1481",750171524,10
"1482",750151571,10
"1483",750164582,10
"1484",750151554,10
"1485",750168491,10
"1486",750167925,10
"1487",750172958,10
"1488",750070845,10
"1489",750173060,10
"1490",750151785,10
"1491",750174738,10
"1492",750151556,10
"1493",750171529,10
"1494",750174741,10
"1495",750151784,10
"1496",750167924,10
