"","Code_voie","Type.de.voie","Nom.de.la.voie","Ardt","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Code.DASCO","X","Coll�ges","maternelle","primaire","college"
"11","0007","PLACE DE L","ABBE JEAN LEBEUF",14,0,"",9999,"","i",14096,"0750445B","ALBERTO GIACOMETTI","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Collège ALBERTO GIACOMETTI 7 RUE DU CANGE - PARIS 14

	"
"12","0007","PLACE DE L","ABBE JEAN LEBEUF",14,0,"",9999,"","p",14096,"0750445B","ALBERTO GIACOMETTI","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège ALBERTO GIACOMETTI 7 RUE DU CANGE - PARIS 14

	"
"13","0008","RUE DE L","ABBE GREGOIRE",6,0,"",17,"","i",6016,"0752187V","JACQUES PREVERT","Ecole maternelle 6 RUE LITTRE - PARIS 06

	","Ecole élémentaire 6 RUE LITTRE - PARIS 06

	","Collège JACQUES PREVERT 18 RUE SAINT BENOIT - PARIS 06

	"
"14","0008","RUE DE L","ABBE GREGOIRE",6,17,"",9999,"","i",6018,"0752527P","MONTAIGNE","Ecole maternelle 6 RUE LITTRE - PARIS 06

	","Ecole élémentaire 6 RUE LITTRE - PARIS 06

	","Collège MONTAIGNE 17 RUE AUGUSTE COMTE - PARIS 06

	"
"15","0008","RUE DE L","ABBE GREGOIRE",6,0,"",18,"","p",6016,"0752187V","JACQUES PREVERT","Ecole maternelle 6 RUE LITTRE - PARIS 06

	","Ecole élémentaire 6 RUE LITTRE - PARIS 06

	","Collège JACQUES PREVERT 18 RUE SAINT BENOIT - PARIS 06

	"
"16","0008","RUE DE L","ABBE GREGOIRE",6,18,"",9999,"","p",6018,"0752527P","MONTAIGNE","Ecole maternelle 6 RUE LITTRE - PARIS 06

	","Ecole élémentaire 6 RUE LITTRE - PARIS 06

	","Collège MONTAIGNE 17 RUE AUGUSTE COMTE - PARIS 06

	"
"17","0010","RUE DE L","ABBE GROULT",15,0,"",89,"","i",15097,"0752546K","CAMILLE SEE","Ecole maternelle 56 AVENUE FELIX FAURE - PARIS 15

	","Ecole élémentaire 81 RUE MADEMOISELLE - PARIS 15

	","Collège CAMILLE SEE 11 RUE LEON LHERMITTE - PARIS 15

	"
"18","0010","RUE DE L","ABBE GROULT",15,89,"",111,"","i",15018,"0752318M","MODIGLIANI","Ecole élémentaire 28 rue Dombasle - PARIS 15

	","Ecole élémentaire 28 rue Dombasle - PARIS 15

	","Collège MODIGLIANI 1 RUE DE CHERBOURG - PARIS 15

	"
"19","0010","RUE DE L","ABBE GROULT",15,111,"",9999,"","i",15058,"0751563S","MADAME DE STAEL","Ecole maternelle 42 RUE D'ALLERAY - PARIS 15

	","Ecole élémentaire 3 RUE CORBON - PARIS 15

	","Collège MME DE STAEL 14 RUE DE STAEL - PARIS 15

	"
"20","0010","RUE DE L","ABBE GROULT",15,0,"",86,"","p",15097,"0752546K","CAMILLE SEE","Ecole maternelle 56 AVENUE FELIX FAURE - PARIS 15

	","Ecole élémentaire 14 RUE FRANCOIS COPPEE - PARIS 15

	","Collège CAMILLE SEE 11 RUE LEON LHERMITTE - PARIS 15

	"
"21","0010","RUE DE L","ABBE GROULT",15,86,"",108,"","p",15018,"0752318M","MODIGLIANI","Ecole élémentaire 28 rue Dombasle - PARIS 15

	","Ecole élémentaire 28 rue Dombasle - PARIS 15

	","Collège MODIGLIANI 1 RUE DE CHERBOURG - PARIS 15

	"
"22","0010","RUE DE L","ABBE GROULT",15,108,"",9999,"","p",15058,"0751563S","MADAME DE STAEL","Ecole maternelle 42 RUE D'ALLERAY - PARIS 15

	","Ecole élémentaire 3 RUE CORBON - PARIS 15

	","Collège MME DE STAEL 14 RUE DE STAEL - PARIS 15

	"
"23","0011","RUE DE L","ABBE MIGNE",4,0,"",9999,"","i",4007,"0752693V","FRANCOIS COUPERIN","Ecole maternelle 40 RUE DES ARCHIVES - PARIS 04

	","Ecole élémentaire 9 RUE DE MOUSSY - PARIS 04

	","Collège FRANCOIS COUPERIN 2 RUE DU GRENIER SUR L'EAU - PARIS 04

	"
"24","0011","RUE DE L","ABBE MIGNE",4,0,"",9999,"","p",4007,"0752693V","FRANCOIS COUPERIN","Ecole maternelle 40 RUE DES ARCHIVES - PARIS 04

	","Ecole élémentaire 9 RUE DE MOUSSY - PARIS 04

	","Collège FRANCOIS COUPERIN 2 RUE DU GRENIER SUR L'EAU - PARIS 04

	"
"25","0012","RUE DE L","ABBE PATUREAU",18,0,"",9999,"","i",18086,"0750429J","ROLAND DORGELES","Ecole maternelle 1 PLACE CONSTANTIN PECQUEUR - PARIS 18

	","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18

	","Collège ROLAND DORGELES 63 RUE DE CLIGNANCOURT - PARIS 18

	"
"26","0012","RUE DE L","ABBE PATUREAU",18,0,"",9999,"","p",18086,"0750429J","ROLAND DORGELES","Ecole maternelle 1 PLACE CONSTANTIN PECQUEUR - PARIS 18

	","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18

	","Collège ROLAND DORGELES 63 RUE DE CLIGNANCOURT - PARIS 18

	"
"27","0013","RUE DE L","ABBE ROGER DERRY",15,0,"",9999,"","i",15094,"0752545J","BUFFON","Ecole maternelle 3 PLACE DU CARDINAL AMETTE - PARIS 15

	","Ecole élémentaire 3 PLACE DU CARDINAL AMETTE - PARIS 15

	","Collège BUFFON 16 BOULEVARD PASTEUR - PARIS 15

	"
"28","0013","RUE DE L","ABBE ROGER DERRY",15,0,"",9999,"","p",15094,"0752545J","BUFFON","Ecole maternelle 13 RUE CEPRE - PARIS 15

	","Ecole élémentaire 33 BIS RUE MIOLLIS - PARIS 15

	","Collège BUFFON 16 BOULEVARD PASTEUR - PARIS 15

	"
"29","0014","RUE DE L","ABBE ROUSSELOT",17,0,"",9999,"","i",17009,"0752958H","BORIS VIAN","Ecole maternelle 24 RUE CHRISTINE DE PISAN - PARIS 17

	","Ecole élémentaire 112 BOULEVARD BERTHIER - PARIS 17

	","Collège BORIS VIAN 76 BOULEVARD BERTHIER - PARIS 17

	"
"30","0014","RUE DE L","ABBE ROUSSELOT",17,0,"",9999,"","p",17009,"0752958H","BORIS VIAN","Ecole maternelle 24 RUE CHRISTINE DE PISAN - PARIS 17

	","Ecole élémentaire 112 BOULEVARD BERTHIER - PARIS 17

	","Collège BORIS VIAN 76 BOULEVARD BERTHIER - PARIS 17

	"
"31","0015","AVENUE","ABBE ROUSSEL",16,0,"",9999,"","i",16048,"0752549N","JEAN-BAPTISTE SAY","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16
Ecole maternelle 18 RUE GROS - PARIS 16

	","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16
Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16
Ecole maternelle 18 RUE GROS - PARIS 16

	","Collège JEAN-BAPTISTE SAY 11 BIS RUE D'AUTEUIL - PARIS 16

	"
"32","0015","AVENUE","ABBE ROUSSEL",16,0,"",9999,"","p",16048,"0752549N","JEAN-BAPTISTE SAY","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16
Ecole maternelle 18 RUE GROS - PARIS 16

	","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16
Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16
Ecole maternelle 18 RUE GROS - PARIS 16

	","Collège JEAN-BAPTISTE SAY 11 BIS RUE D'AUTEUIL - PARIS 16

	"
"33","0016","PLACE DE L","ABBE BASSET",5,0,"",9999,"","i",5031,"0752526N","HENRI IV","Ecole maternelle 23 RUE CUJAS - PARIS 05

	","Ecole élémentaire 14 RUE VICTOR COUSIN - PARIS 05

	","Collège HENRI IV 23 RUE CLOVIS - PARIS 05

	"
"34","0016","PLACE DE L","ABBE BASSET",5,0,"",9999,"","p",5031,"0752526N","HENRI IV","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège HENRI IV 23 RUE CLOVIS - PARIS 05

	"
"35","0017","PASSAGE DES","ABBESSES",18,0,"",9999,"","i",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 56 RUE D'ORSEL - PARIS 18

	","Ecole élémentaire 15 RUE HOUDON - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"36","0017","PASSAGE DES","ABBESSES",18,0,"",9999,"","p",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 56 RUE D'ORSEL - PARIS 18

	","Ecole élémentaire 15 RUE HOUDON - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"37","0018","PLACE DES","ABBESSES",18,0,"",9999,"","i",18094,"0752108J","YVONNE LE TAC","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"38","0018","PLACE DES","ABBESSES",18,0,"",9999,"","p",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 56 RUE D'ORSEL - PARIS 18

	","Ecole élémentaire 15 RUE HOUDON - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"39","0019","RUE DES","ABBESSES",18,0,"",9999,"","i",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 56 RUE D'ORSEL - PARIS 18

	","Ecole élémentaire 15 RUE HOUDON - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"40","0019","RUE DES","ABBESSES",18,0,"",9999,"","p",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 56 RUE D'ORSEL - PARIS 18

	","Ecole élémentaire 15 RUE HOUDON - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"41","0020","RUE DE L","ABBE SOULANGE BODIN",14,0,"",9999,"","i",14096,"0750445B","ALBERTO GIACOMETTI","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Collège ALBERTO GIACOMETTI 7 RUE DU CANGE - PARIS 14

	"
"42","0020","RUE DE L","ABBE SOULANGE BODIN",14,0,"",9999,"","p",14096,"0750445B","ALBERTO GIACOMETTI","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Ecole élémentaire 69 RUE DE L'OUEST - PARIS 14

	","Collège ALBERTO GIACOMETTI 7 RUE DU CANGE - PARIS 14

	"
"43","0021","RUE D","ABBEVILLE",10,0,"",17,"","i",9046,"0752534X ","ALPHONSE DE LAMARTINE","Ecole maternelle 11 rue LEON SCHWARTZENBERG - PARIS 10

	","Ecole élémentaire 3 RUE DE BELZUNCE - PARIS 10

	","Collège A DE LAMARTINE 121 RUE FBG POISSONNIERE - PARIS 09

	"
"44","0021","RUE D","ABBEVILLE",9,17,"",9999,"","i",9029,"0752532V","JACQUES DECOUR","Ecole maternelle 22 RUE DE ROCHECHOUART - PARIS 09

	","Ecole élémentaire 21 RUE MILTON - PARIS 09

	","Collège JACQUES DECOUR 12 AVENUE TRUDAINE - PARIS 09

	"
"45","0021","RUE D","ABBEVILLE",10,0,"",16,"","p",9046,"0752534X ","ALPHONSE DE LAMARTINE","Ecole maternelle 11 rue LEON SCHWARTZENBERG - PARIS 10

	","Ecole élémentaire 3 RUE DE BELZUNCE - PARIS 10

	","Collège A DE LAMARTINE 121 RUE FBG POISSONNIERE - PARIS 09

	"
"46","0021","RUE D","ABBEVILLE",9,16,"",9999,"","p",9029,"0752532V","JACQUES DECOUR","Ecole maternelle 22 RUE DE ROCHECHOUART - PARIS 09

	","Ecole élémentaire 21 RUE MILTON - PARIS 09

	","Collège JACQUES DECOUR 12 AVENUE TRUDAINE - PARIS 09

	"
"47","0023","RUE","ABEL",12,0,"",9999,"","i",12068,"0750609E","PAUL VERLAINE","Ecole maternelle 7 RUE JEAN BOUTON - PARIS 12

	","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12
Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12

	","Collège PAUL VERLAINE 165 RUE DE BERCY - PARIS 12

	"
"48","0023","RUE","ABEL",12,0,"",9999,"","p",12068,"0750609E","PAUL VERLAINE","Ecole maternelle 7 RUE JEAN BOUTON - PARIS 12

	","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12
Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12

	","Collège PAUL VERLAINE 165 RUE DE BERCY - PARIS 12

	"
"49","0024","PLACE DE L","ABBE FRANZ STOCK",16,0,"",9999,"","i",16052,"0752547L","CLAUDE BERNARD","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège CLAUDE BERNARD 1 AVENUE DU PARC DES PRINCES - PARIS 16

	"
"50","0024","PLACE DE L","ABBE FRANZ STOCK",16,0,"",9999,"","p",16052,"0752547L","CLAUDE BERNARD","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège CLAUDE BERNARD 1 AVENUE DU PARC DES PRINCES - PARIS 16

	"
"51","0025","RUE","ABEL FERRY",16,0,"",9999,"","i",16052,"0752547L","CLAUDE BERNARD","Ecole maternelle 162 BOULEVARD MURAT - PARIS 16

	","Ecole élémentaire 162 BOULEVARD MURAT - PARIS 16

	","Collège CLAUDE BERNARD 1 AVENUE DU PARC DES PRINCES - PARIS 16

	"
"52","0025","RUE","ABEL FERRY",16,0,"",9999,"","p",16052,"0752547L","CLAUDE BERNARD","Ecole maternelle 162 BOULEVARD MURAT - PARIS 16

	","Ecole élémentaire 162 BOULEVARD MURAT - PARIS 16

	","Collège CLAUDE BERNARD 1 AVENUE DU PARC DES PRINCES - PARIS 16

	"
"53","0026","RUE","ABEL GANCE",13,0,"",9999,"","i",13136,"0755000C","THOMAS MANN","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13

	","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13

	","Collège THOMAS MANN 91 AVENUE DE France - PARIS 13

	"
"54","0026","RUE","ABEL GANCE",13,0,"",9999,"","p",13136,"0755000C","THOMAS MANN","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13

	","Ecole élémentaire 8-10 RUE GEORGE BALANCHINE - PARIS 13

	","Collège THOMAS MANN 91 AVENUE DE France - PARIS 13

	"
"55","0027","RUE","ABEL HOVELACQUE",13,0,"",9999,"","i",13108,"0752538B","AUGUSTE RODIN","Ecole maternelle 28 AVENUE STEPHEN PICHON - PARIS 13

	","Ecole élémentaire 13 RUE FAGON - PARIS 13

	","Collège A RODIN 19 RUE CORVISART - PARIS 13

	"
"56","0027","RUE","ABEL HOVELACQUE",13,0,"",9999,"","p",13108,"0752538B","AUGUSTE RODIN","Ecole maternelle 28 AVENUE STEPHEN PICHON - PARIS 13

	","Ecole élémentaire 13 RUE FAGON - PARIS 13

	","Collège A RODIN 19 RUE CORVISART - PARIS 13

	"
"57","0028","RUELLE DU","PERE FRAGILE",15,0,"",9999,"","p",15097,"0752546K","CAMILLE SEE","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège CAMILLE SEE 11 RUE LEON LHERMITTE - PARIS 15

	"
"58","0028","RUELLE DU","PERE FRAGILE",15,0,"",9999,"","i",15097,"0752546K","CAMILLE SEE","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","
		Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact"".
	","Collège CAMILLE SEE 11 RUE LEON LHERMITTE - PARIS 15

	"
"59","0030","PASSAGE","ABEL LEBLANC",12,0,"",9999,"","i",12070,"0752189X","GUY FLAVIEN","Ecole maternelle 70 AVENUE DAUMESNIL - PARIS 12

	","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12
Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12

	","Collège GUY FLAVIEN 6 RUE D'ARTAGNAN - PARIS 12

	"
"60","0030","PASSAGE","ABEL LEBLANC",12,0,"",9999,"","p",12070,"0752189X","GUY FLAVIEN","Ecole maternelle 70 AVENUE DAUMESNIL - PARIS 12

	","Ecole élémentaire 5 RUE JEAN BOUTON - PARIS 12
Ecole élémentaire 40 BOULEVARD DIDEROT - PARIS 12

	","Collège GUY FLAVIEN 6 RUE D'ARTAGNAN - PARIS 12

	"
"61","0032","RUE","ABEL RABAUD",11,0,"",9999,"","i",11032,"0750465Y","LUCIE ET RAYMOND AUBRAC","Ecole maternelle 39 RUE DES TROIS BORNES - PARIS 11

	","Ecole élémentaire 109 AVENUE PARMENTIER - PARIS 11

	","Collège LUCIE ET RAYMOND AUBRAC 62 RUE DE LA FONTAINE AU ROI - PARIS 11

	"
"62","0032","RUE","ABEL RABAUD",11,0,"",9999,"","p",11032,"0750465Y","LUCIE ET RAYMOND AUBRAC","Ecole maternelle 39 RUE DES TROIS BORNES - PARIS 11

	","Ecole élémentaire 109 AVENUE PARMENTIER - PARIS 11

	","Collège LUCIE ET RAYMOND AUBRAC 62 RUE DE LA FONTAINE AU ROI - PARIS 11

	"
"63","0034","RUE","ABEL TRUCHET",17,0,"",9999,"","i",8028,"0751791P","CONDORCET","Ecole maternelle 48 RUE DE SAUSSURE - PARIS 17
Ecole élémentaire 10 RUE BOURSAULT - PARIS 17

	","Ecole élémentaire 10 RUE BOURSAULT - PARIS 17

	","Collège CONDORCET 61 RUE D'AMSTERDAM - PARIS 08

	"
"64","0034","RUE","ABEL TRUCHET",17,0,"",9999,"","p",8028,"0751791P","CONDORCET","Ecole élémentaire 15 RUE TRUFFAUT - PARIS 17

	","Ecole élémentaire 15 RUE TRUFFAUT - PARIS 17

	","Collège CONDORCET 61 RUE D'AMSTERDAM - PARIS 08

	"
"65","0036","RUE D","ABOUKIR",2,0,"",79,"","i",2007,"0752248L","CESAR FRANCK","Ecole maternelle 11 RUE VIVIENNE - PARIS 02

	","Ecole élémentaire 3 RUE DE LA JUSSIENNE - PARIS 02

	","Collège CESAR FRANCK 5 RUE DE LA JUSSIENNE - PARIS 02

	"
"66","0036","RUE D","ABOUKIR",2,79,"",9999,"","i",3027,"0752523K","MONTGOLFIER","Ecole maternelle 221 RUE SAINT DENIS - PARIS 02

	","Ecole élémentaire 42 RUE DUSSOUBS - PARIS 02

	","Collège MONTGOLFIER 15 RUE MONTGOLFIER - PARIS 03

	"
"67","0036","RUE D","ABOUKIR",2,0,"",78,"","p",2007,"0752248L","CESAR FRANCK","Ecole maternelle 11 RUE VIVIENNE - PARIS 02

	","Ecole élémentaire 3 RUE DE LA JUSSIENNE - PARIS 02

	","Collège CESAR FRANCK 5 RUE DE LA JUSSIENNE - PARIS 02

	"
"68","0036","RUE D","ABOUKIR",2,78,"",9999,"","p",3027,"0752523K","MONTGOLFIER","Ecole maternelle 221 RUE SAINT DENIS - PARIS 02

	","Ecole élémentaire 42 RUE DUSSOUBS - PARIS 02

	","Collège MONTGOLFIER 15 RUE MONTGOLFIER - PARIS 03

	"
"69","0038","RUE DE L","ABREUVOIR",18,0,"",9999,"","i",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 1 PLACE CONSTANTIN PECQUEUR - PARIS 18

	","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"70","0038","RUE DE L","ABREUVOIR",18,0,"",9999,"","p",18094,"0752108J","YVONNE LE TAC","Ecole maternelle 1 PLACE CONSTANTIN PECQUEUR - PARIS 18

	","Ecole élémentaire 26 RUE DU MONT CENIS - PARIS 18

	","Collège YVONNE LE TAC 7 RUE YVONNE LE TAC - PARIS 18

	"
"71","0041","PASSAGE DES","ACACIAS",17,0,"",9999,"","i",17054,"0752387M","ANDRE MALRAUX","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17

	","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17

	","Collège ANDRE MALRAUX 5 BIS RUE SAINT FERDINAND - PARIS 17

	"
"72","0041","PASSAGE DES","ACACIAS",17,0,"",9999,"","p",17054,"0752387M","ANDRE MALRAUX","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17

	","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17

	","Collège ANDRE MALRAUX 5 BIS RUE SAINT FERDINAND - PARIS 17

	"
"73","0042","RUE DES","ACACIAS",17,0,"",9999,"","i",17054,"0752387M","ANDRE MALRAUX","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17

	","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17

	","Collège ANDRE MALRAUX 5 BIS RUE SAINT FERDINAND - PARIS 17

	"
"74","0042","RUE DES","ACACIAS",17,0,"",9999,"","p",17054,"0752387M","ANDRE MALRAUX","Ecole maternelle 16 RUE DU COLONEL MOLL - PARIS 17

	","Ecole élémentaire 16 RUE DU COLONEL MOLL - PARIS 17

	","Collège ANDRE MALRAUX 5 BIS RUE SAINT FERDINAND - PARIS 17

	"
"75","0044","RUE","ACHILLE",20,0,"",9999,"","i",20075,"0750591K","HENRI MATISSE","Ecole maternelle 26 RUE DE LA COUR DES NOUES - PARIS 20

	","Ecole élémentaire 15 RUE SORBIER - PARIS 20

	","Collège HENRI MATISSE 3 RUE VITRUVE - PARIS 20

	"
"76","0044","RUE","ACHILLE",20,0,"",9999,"","p",20075,"0750591K","HENRI MATISSE","Ecole maternelle 26 RUE DE LA COUR DES NOUES - PARIS 20

	","Ecole élémentaire 15 RUE SORBIER - PARIS 20

	","Collège HENRI MATISSE 3 RUE VITRUVE - PARIS 20

	"
