VOIE_ID;Arrondissement;Libellé voie long;type voie court;dénomination voie court;Geo Point
3381;75015;AVENUE ERNEST RENAN;AV;ERNEST RENAN;48.831353, 2.286251
3387;75017;RUE ERNEST ROCHE;RUE;ERNEST ROCHE;48.895606, 2.320128
3393;75013;RUE DE L ESPERANCE;RUE;DE L ESPERANCE;48.826355, 2.34774
3399;75013;VILLA D ESTE;VLA;D ESTE;48.822236, 2.365563
3403;75005;RUE DE L ESTRAPADE;RUE;DE L ESTRAPADE;48.844803, 2.346583
3404;75007;RUE D ESTREES;RUE;D ESTREES;48.851462, 2.310351
3405;75012;CHAUSSEE DE L ETANG * SAINT MANDE;CHS;ETANG 94;48.844827, 2.403863
3410;75018;VILLA ETEX;VLA;ETEX;48.890544, 2.328693
3427;75011;COUR DE L ETOILE D OR;CO;DE L ETOILE D OR;48.852027, 2.374708
3441;75018;RUE EUGENE FOURNIERE;RUE;EUGENE FOURNIERE;48.898564, 2.340797
3453;75016;VILLA EUGENE MANUEL;VLA;EUGENE MANUEL;48.859093, 2.280956
3466;75018;RUE EUGENE SUE;RUE;EUGENE SUE;48.891206, 2.347116
3468;75010;RUE EUGENE VARLIN;RUE;EUGENE VARLIN;48.877706, 2.365408
3472;75008;RUE EULER;RUE;EULER;48.870981, 2.298517
3478;75008;PLACE DE L EUROPE;PL;DE L EUROPE;48.879127, 2.323318
3479;75019;RUE EURYALE DEHAYNIN;RUE;EURYALE DEHAYNIN;48.885849, 2.3781
3486;75019;RUE EVETTE;RUE;EVETTE;48.888539, 2.381071
3493;75007;RUE DE L EXPOSITION;RUE;DE L EXPOSITION;48.857711, 2.302933
3503;75012;RUE FABRE D EGLANTINE;RUE;FABRE EGLANTINE;48.846565, 2.395574
3504;75011;COUR DES FABRIQUES;CO;DES FABRIQUES;48.866632, 2.375328
3508;75011;RUE FAIDHERBE;RUE;FAIDHERBE;48.851755, 2.383685
3515;75018;RUE FALCONET;RUE;FALCONET;48.887604, 2.346228
3519;75015;CITE FALGUIERE;CI;FALGUIERE;48.840477, 2.312396
3524;75015;RUE FALLEMPIN;RUE;FALLEMPIN;48.849141, 2.292721
3531;75016;RUE FANTIN LATOUR;RUE;FANTIN LATOUR;48.839722, 2.265744
3536;75010;RUE DU FAUBOURG DU TEMPLE;RUE;DU FG DU TEMPLE;48.870101, 2.371379
3544;75010;RUE DU FAUBOURG SAINT MARTIN;RUE;FG SAINT MARTIN;48.875797, 2.3603
3567;75016;RUE FELICIEN DAVID;RUE;FELICIEN DAVID;48.849471, 2.274277
3593;75016;AVENUE FERDINAND BUISSON;AV;F BUISSON;48.836766, 2.253614
3601;75018;RUE FERDINAND FLOCON;RUE;FERDINAND FLOCON;48.891402, 2.345832
3602;75020;RUE FERDINAND GAMBON;RUE;FERDINAND GAMBON;48.853513, 2.40723
3605;75008;AVENUE FERDOUSI;AV;FERDOUSI;48.879467, 2.309239
3609;75014;PASSAGE FERMAT;PAS;FERMAT;48.836696, 2.324964
3617;75013;RUE FERNAND BRAUDEL;RUE;FERNAND BRAUDEL;48.835665, 2.372918
3622;75015;PLACE FERNAND FOREST;PL;FERNAND FOREST;
3623;75012;RUE FERNAND FOUREAU;RUE;FERNAND FOUREAU;48.846101, 2.411724
3624;75014;RUE FERNAND HOLWECK;RUE;FERNAND HOLWECK;48.834566, 2.314639
3625;75018;RUE FERNAND LABORI;RUE;FERNAND LABORI;48.89863, 2.342376
3629;75013;RUE FERNAND WIDAL;RUE;FERNAND WIDAL;48.818317, 2.360543
3662;75018;RUE DES FILLETTES;RUE;DES FILLETTES;48.894283, 2.363255
3667;75015;RUE FIRMIN GILLOT;RUE;FIRMIN GILLOT;48.832427, 2.290736
3671;75019;CITE DES FLAMANDS;CI;DES FLAMANDS;48.875346, 2.380101
3682;75017;CITE DES FLEURS;CI;DES FLEURS;48.892633, 2.32031
3688;75018;RUE FLEURY;RUE;FLEURY;48.88439, 2.354093
3691;75016;VILLA FLORE;VLA;FLORE;48.849837, 2.266437
3693;75008;RUE DE FLORENCE;RUE;DE FLORENCE;48.882153, 2.325258
3711;75016;AVENUE FOCH;AV;FOCH;48.872668, 2.284447
3712;75012;AVENUE FOCH * VINCENNES;AV;FOCH 94;48.847512, 2.405101
3724;75011;PASSAGE DE LA FONDERIE;PAS;DE LA FONDERIE;48.866595, 2.375773
3733;75018;RUE DE LA FONTAINE DU BUT;RUE;FONTAINE DU BUT;48.890388, 2.339085
5512;75016;AVENUE LEOPOLD II;AV;LEOPOLD II;48.851279, 2.272252
5515;75001;PASSERELLE LEOPOLD SEDAR SENGHOR;PLE;L SEDAR SENGHOR;48.861787, 2.32462
5515;75007;PASSERELLE LEOPOLD SEDAR SENGHOR;PLE;L SEDAR SENGHOR;48.861787, 2.32462
5516;75019;CITE LEPAGE;CI;LEPAGE;48.880365, 2.371325
5538;75020;CITE LEROY;CI;LEROY;48.870728, 2.392783
5539;75016;SQUARE LEROY BEAULIEU;SQ;LEROY BEAULIEU;48.853908, 2.269656
5550;75020;RUE LESPAGNOL;RUE;LESPAGNOL;48.858363, 2.392119
5557;75016;RUE LE TASSE;RUE;LE TASSE;48.86016, 2.28677
5563;75018;IMPASSE LETORT;IMP;LETORT;48.895408, 2.343329
5567;75012;COUR DU LEVANT;CO;DU LEVANT;48.833456, 2.386181
5576;75017;IMPASSE DE LEVIS;IMP;DE LEVIS;48.88247, 2.315404
5584;75005;RUE LHOMOND;RUE;LHOMOND;48.843068, 2.34683
5615;75015;RUE DU LIEUVIN;RUE;DU LIEUVIN;48.831092, 2.304907
5619;75020;RUE LIGNER;RUE;LIGNER;48.857605, 2.397299
5624;75009;PLACE LILI BOULANGER;PL;LILI BOULANGER;48.882182, 2.328854
5631;75008;RUE LINCOLN;RUE;LINCOLN;48.870312, 2.302844
5632;75001;PASSAGE DES LINGERES;PAS;LINGERES;48.861068, 2.346211
5646;75011;PASSAGE LISA;PAS;LISA;48.858359, 2.377146
5650;75013;RUE DES LISERONS;RUE;DES LISERONS;48.822534, 2.345117
5663;75006;RUE LOBINEAU;RUE;LOBINEAU;48.851725, 2.336166
5677;75001;RUE DES LOMBARDS;RUE;DES LOMBARDS;48.859525, 2.348758
5677;75004;RUE DES LOMBARDS;RUE;DES LOMBARDS;48.859498, 2.348833
5692;75008;RUE LORD BYRON;RUE;LORD BYRON;48.87336, 2.299795
5700;75016;RUE DE LOTA;RUE;DE LOTA;48.867233, 2.276007
5708;75013;PLACE LOUIS ARMSTRONG;PL;LOUIS ARMSTRONG;48.822946, 2.344467
5709;75016;RUE LOUIS BOILLY;RUE;LOUIS BOILLY;48.859215, 2.266895
5717;75016;RUE LOUIS DAVID;RUE;LOUIS DAVID;48.861501, 2.280925
5721;75014;SQUARE LOUISE ET TONY;SQ;LOUISE ET TONY;48.827256, 2.330124
5723;75013;RUE LOUISE WEISS;RUE;LOUISE WEISS;48.833876, 2.370066
5731;75018;RUE DE LA LOUISIANE;RUE;DE LA LOUISIANE;48.890995, 2.362301
5741;75008;RUE LOUIS MURAT;RUE;LOUIS MURAT;48.876211, 2.309073
5742;75018;RUE LOUIS PASTEUR VALERY RADOT;RUE;LP VALERY RADOT;48.900356, 2.332416
5753;75015;RUE LOUIS VICAT;RUE;LOUIS VICAT;48.826117, 2.297044
5755;75015;RUE DE LOURMEL;RUE;DE LOURMEL;48.843485, 2.286299
5759;75014;VILLA DE LOURCINE;VLA;DE LOURCINE;48.83095, 2.338658
5765;75001;QUAI DU LOUVRE;QU;DU LOUVRE;48.85874, 2.341158
5776;75020;RUE LUCIEN LEUWEN;RUE;LUCIEN LEUWEN;48.860507, 2.4022
5778;75010;RUE LUCIEN SAMPAIX;RUE;LUCIEN SAMPAIX;48.872549, 2.361046
5779;75002;RUE LULLI;RUE;LULLI;48.868055, 2.33719
5782;75002;RUE DE LA LUNE;RUE;DE LA LUNE;48.869759, 2.349897
5783;75019;RUE DE LUNEVILLE;RUE;DE LUNEVILLE;48.886502, 2.387471
5793;75016;RUE LYAUTEY;RUE;LYAUTEY;48.856853, 2.281551
5802;75016;IMPASSE MARIE DE REGNIER;IMP;MARIE DE REGNIER;48.856685, 2.284106
5809;75012;RUE DES MACONNAIS;RUE;DES MACONNAIS;48.832841, 2.388903
5811;75013;RUE MADELEINE BRES;RUE;MADELEINE BRES;48.82149, 2.349624
5813;75006;RUE MADAME;RUE;MADAME;48.849179, 2.331715
7225;75016;BOULEVARD PERIPHERIQUE;BD;PERIPHERIQUE;48.867212, 2.273157
7225;75019;BOULEVARD PERIPHERIQUE;BD;PERIPHERIQUE;48.882643, 2.396002
7226;75004;RUE PERNELLE;RUE;PERNELLE;48.858599, 2.349326
7228;75014;RUE PERNETY;RUE;PERNETY;48.834005, 2.318055
7240;75016;AVENUE PERRICHONT;AV;PERRICHONT;48.849464, 2.273004
7244;75007;RUE PERRONET;RUE;PERRONET;48.855304, 2.330314
7251;75005;RUE PESTALOZZI;RUE;PESTALOZZI;48.842127, 2.351319
7261;75011;RUE PETION;RUE;PETION;48.859405, 2.380971
7304;75010;RUE DES PETITS HOTELS;RUE;PETITS HOTELS;48.877443, 2.353509
7307;75002;PASSAGE DES PETITS PERES;PAS;DES PETITS PERES;48.866473, 2.340351
7314;75016;RUE PETRARQUE;RUE;PETRARQUE;48.861823, 2.283493
7315;75016;SQUARE PETRARQUE;SQ;PETRARQUE;48.861346, 2.2822
7336;75013;RUE PHILIBERT LUCOT;RUE;PHILIBERT LUCOT;48.822304, 2.361692
7363;75012;RUE DE PICPUS;RUE;DE PICPUS;48.841849, 2.398239
7364;75020;ALLEE PIERRE BEREGOVOY;ALL;PIERRE BEREGOVOY;48.858046, 2.390878
7367;75016;ALLEE PIERRE CHISTIAN TAITTINGER;ALL;P C TAITTINGER;48.849361, 2.265938
7378;75008;RUE PIERRE CHARRON;RUE;PIERRE CHARRON;48.869486, 2.303254
7380;75010;RUE PIERRE CHAUSSON;RUE;PIERRE CHAUSSON;48.870604, 2.360434
7382;75005;RUE PIERRE ET MARIE CURIE;RUE;P ET M CURIE;48.844626, 2.343764
7385;75013;AVENUE PIERRE DE COUBERTIN;AV;PIERRE COUBERTIN;48.817648, 2.34417
7387;75010;RUE PIERRE DUPONT;RUE;PIERRE DUPONT;48.879195, 2.364871
7388;75001;PLACE PIERRE EMMANUEL;PL;PIERRE EMMANUEL;48.863731, 2.33527
7392;75018;VILLA PIERRE GINIER;VLA;PIERRE GINIER;48.887244, 2.326802
7395;75013;RUE PIERRE GOURDAULT;RUE;PIERRE GOURDAULT;48.831398, 2.370899
7398;75019;RUE PIERRE JEAN JOUVE;RUE;PIERRE J  JOUVE;48.887689, 2.389193
7402;75005;PLACE PIERRE LAMPUE;PL;PIERRE LAMPUE;48.841236, 2.343618
7407;75002;PLACE PIERRE LAZAREFF;PL;PIERRE LAZAREFF;48.866851, 2.349068
7415;75001;RUE PIERRE LESCOT;RUE;PIERRE LESCOT;48.862406, 2.34849
7417;75011;RUE DE LA PIERRE LEVEE;RUE;PIERRE LEVEE;48.867324, 2.370504
7424;75019;ALLEE PIERRE MOLLARET;ALL;PIERRE MOLLARET;48.899169, 2.372682
7432;75016;AVENUE PIERRE 1ER DE SERBIE;AV;PIERRE 1 SERBIE;48.86664, 2.297646
7434;75020;RUE PIERRE QUILLARD;RUE;PIERRE QUILLARD;48.866771, 2.410089
7436;75006;RUE PIERRE SARRAZIN;RUE;PIERRE SARRAZIN;48.85087, 2.342169
7438;75009;RUE PIERRE SEMARD;RUE;PIERRE SEMARD;48.878119, 2.347516
7447;75018;CITE PILLEUX;CI;PILLEUX;48.888805, 2.326875
7450;75013;RUE PINEL;RUE;PINEL;48.83402, 2.359565
7472;75014;RUE DES PLANTES;RUE;DES PLANTES;48.828575, 2.32202
7488;75020;RUE DES PLATRIERES;RUE;DES PLATRIERES;48.867894, 2.389819
7514;75014;RUE POIRIER DE NARCAY;RUE;POIRIER NARCAY;48.824204, 2.324639
7534;75005;RUE POLIVEAU;RUE;POLIVEAU;48.840228, 2.359102
7540;75012;RUE DE POMMARD;RUE;DE POMMARD;48.836143, 2.384269
7542;75016;RUE DE POMEREU;RUE;DE POMEREU;48.867882, 2.278291
7545;75012;COUR DU PONANT;CO;DU PONANT;48.833456, 2.386181
7552;75015;RUE DE PONDICHERY;RUE;DE PONDICHERY;48.849961, 2.296877
7560;75003;PASSAGE DU PONT AUX BICHES;PAS;PONT AUX BICHES;48.867693, 2.358626
7571;75008;RUE DE PONTHIEU;RUE;DE PONTHIEU;48.871183, 2.308038
7573;75004;RUE DU PONT LOUIS PHILIPPE;RUE;PONT L PHILIPPE;48.855296, 2.355852
7604;75020;PLACE DE LA PORTE DE BAGNOLET;PL;PORTE BAGNOLET;48.864337, 2.40879
7606;75015;AVENUE DE LA PORTE BRANCION;AV;PORTE BRANCION;48.827051, 2.300816
7610;75017;AVENUE DE LA PORTE DE CHAMPERRET;AV;PTE CHAMPERRET;48.886209, 2.287307
7617;75014;AVENUE DE LA PORTE DE CHATILLON;AV;PTE DE CHATILLON;48.823329, 2.31657
7621;75019;AVENUE DE LA PORTE CHAUMONT;AV;PORTE CHAUMONT;48.886169, 2.396634
7625;75017;AVENUE DE LA PORTE DE CLICHY;AV;PORTE DE CLICHY;48.895363, 2.311809
7647;75016;AVENUE DE LA PORTE MOLITOR;AV;PORTE MOLITOR;48.844946, 2.253486
4444;75020;VILLA DES HAUTES TRAVERSES;VLA;HAUTES TRAVERSES;48.854912, 2.40415
2246;75015;ALLEE DU COMMANDANT RAYNAL;ALL;CDT RAYNAL;48.842307, 2.278627
2257;75010;RUE DE COMPIEGNE;RUE;DE COMPIEGNE;48.880519, 2.353805
2282;75009;RUE DU CONSERVATOIRE;RUE;DU CONSERVATOIRE;48.873098, 2.346845
2301;75015;RUE DE LA CONVENTION;RUE;DE LA CONVENTION;48.840275, 2.289733
2306;75008;RUE DE COPENHAGUE;RUE;DE COPENHAGUE;48.880298, 2.320637
2309;75016;VILLA COPERNIC;VLA;COPERNIC;48.869608, 2.287512
2317;75001;RUE COQUILLIERE;RUE;COQUILLIERE;48.863874, 2.342399
2329;75003;RUE DE LA CORDERIE;RUE;DE LA CORDERIE;48.865131, 2.363036
2332;75019;AVENUE CORENTIN CARIOU;AV;CORENTIN CARIOU;48.89658, 2.384325
2362;75018;PASSAGE COTTIN;PAS;COTTIN;48.88779, 2.346173
2367;75014;RUE DE COULMIERS;RUE;DE COULMIERS;48.824926, 2.323549
2371;75020;RUE COURAT;RUE;COURAT;48.857009, 2.405484
2384;75020;RUE DE LA COUR DES NOUES;RUE;COUR DES NOUES;48.864323, 2.401848
2422;75006;RUE CREBILLON;RUE;CREBILLON;48.85029, 2.338246
2435;75004;RUE CRILLON;RUE;CRILLON;48.849382, 2.365571
2442;75018;MARCHE DE CRIMEE;MAR;DE CRIMEE;48.894284, 2.334499
2467;75011;RUE DE CRUSSOL;RUE;DE CRUSSOL;48.864248, 2.368357
2492;75018;RUE CUSTINE;RUE;CUSTINE;48.888822, 2.346471
2497;75015;ALLEE DES CYGNES;ALL;DES CYGNES;48.852879, 2.283742
2511;75002;RUE DALAYRAC;RUE;DALAYRAC;48.867816, 2.335228
2513;75013;RUE DALLOZ;RUE;DALLOZ;48.821611, 2.370618
2519;75013;RUE DAMESME;RUE;DAMESME;48.823154, 2.355408
2533;75018;VILLA DANCOURT;VLA;DANCOURT;48.882906, 2.341211
2535;75016;RUE DANGEAU;RUE;DANGEAU;48.852679, 2.268862
2540;75001;RUE DANIELLE CASANOVA;RUE;D CASANOVA;48.867901, 2.331966
2540;75002;RUE DANIELLE CASANOVA;RUE;D CASANOVA;48.867901, 2.331966
2545;75015;PASSAGE DE DANTZIG;PAS;DE DANTZIG;48.832076, 2.296863
2573;75005;RUE DAUBENTON;RUE;DAUBENTON;48.841141, 2.352689
2601;75019;RUE DAVID D ANGERS;RUE;DAVID D ANGERS;48.882208, 2.392226
2602;75014;AVENUE DAVID WEILL;AV;DAVID WEILL;48.820698, 2.334039
2611;75017;RUE DAVY;RUE;DAVY;48.891255, 2.324486
2647;75014;RUE DECRES;RUE;DECRES;48.832699, 2.314526
2667;75014;RUE DELAMBRE;RUE;DELAMBRE;48.841576, 2.327198
2673;75011;CITE DELAUNAY;CI;DELAUNAY;48.855865, 2.393745
2682;75011;IMPASSE DELEPINE;IMP;DELEPINE;48.853107, 2.389403
2697;75010;RUE DEMARQUAY;RUE;DEMARQUAY;48.880974, 2.35921
2704;75014;AVENUE DENFERT ROCHEREAU;AV;DENF ROCHEREAU;48.836381, 2.334333
2720;75018;RUE DU DEPARTEMENT;RUE;DU DEPARTEMENT;48.885989, 2.364034
2734;75016;RUE DESBORDES VALMORE;RUE;D VALMORE;48.860656, 2.277101
2757;75015;SQUARE DESNOUETTES;SQ;DESNOUETTES;48.834818, 2.283938
2761;75014;RUE DESPREZ;RUE;DESPREZ;48.834756, 2.31554
2766;75012;COUR DESSORT;CO;DESSORT;48.847512, 2.405101
2774;75006;IMPASSE DES DEUX ANGES;IMP;DES DEUX ANGES;48.855246, 2.333036
2782;75001;PLACE DES DEUX ECUS;PL;DES DEUX ECUS;48.862861, 2.341555
2793;75020;PASSAGE DES DEUX PORTES;PAS;DES DEUX PORTES;48.85896, 2.404896
2824;75010;RUE DIEU;RUE;DIEU;48.870338, 2.364584
2826;75013;RUE DU DISQUE;RUE;DU DISQUE;48.824286, 2.365788
2830;75015;PLACE DU DIX HUIT JUIN 1940;PL;DU 18 JUIN 1940;48.843744, 2.324269
2831;75017;RUE DU DOBROPOL;RUE;DU DOBROPOL;48.882941, 2.285816
2832;75012;PLACE DU DOCTEUR ANTOINE BECLERE;PL;DU DR A BECLERE;48.850145, 2.382964
2840;75018;PLACE DJANGO REINHARDT;PL;DJANGO REINHARDT;48.900104, 2.343538
2858;75020;SQUARE DU DOCTEUR GRANCHER;SQ;DOCTEUR GRANCHER;48.875802, 2.406594
2862;75017;RUE DU DOCTEUR HEULIN;RUE;DOCTEUR HEULIN;48.890277, 2.323517
2864;75015;RUE DU DOCTEUR JACQUEMAIRE CLEMENCEAU;RUE;DR J CLEMENCEAU;48.842771, 2.298044
2865;75008;IMPASSE DU DOCTEUR JACQUES BERTILLON;IMP;DR J BERTILLON;48.867395, 2.300261
2872;75014;AVENUE DU DOCTEUR LANNELONGUE;AV;DR LANNELONGUE;48.818625, 2.330835
2878;75013;RUE DU DOCTEUR LERAY;RUE;DU DOCTEUR LERAY;48.823335, 2.354436
2890;75016;PLACE DU DOCTEUR PAUL MICHAUX;PL;DR PAUL MICHAUX;48.838654, 2.25445
2898;75020;RUE DES DOCTEURS DEJERINE;RUE;DES DRS DEJERINE;48.855284, 2.412081
2901;75020;SQUARE DU DOCTEUR VARIOT;SQ;DOCTEUR VARIOT;48.875802, 2.406594
2904;75016;AVENUE DODE DE LA BRUNERIE;AV;DODE LA BRUNERIE;48.836259, 2.257497
2911;75015;IMPASSE DOMBASLE;IMP;DOMBASLE;48.835124, 2.301797
2927;75012;AVENUE DORIAN;AV;DORIAN;48.847595, 2.39446
2944;75011;RUE DRANEM;RUE;DRANEM;48.865561, 2.380261
2958;75012;IMPASSE DRUINOT;IMP;DRUINOT;48.849858, 2.380715
2964;75008;PLACE DE DUBLIN;PL;DUBLIN;48.880706, 2.324763
2991;75016;VILLA DUFRESNE;VLA;DUFRESNE;48.837969, 2.262159
2997;75015;PASSAGE DU GUESCLIN;PAS;DU GUESCLIN;48.852029, 2.297119
3003;75015;RUE DULAC;RUE;DULAC;48.843132, 2.31558
3019;75009;RUE DE DUNKERQUE;RUE;DE DUNKERQUE;48.880828, 2.351056
3021;75013;RUE DUNOIS;RUE;DUNOIS;48.831723, 2.368326
3022;75013;SQUARE DUNOIS;SQ;DUNOIS;48.833619, 2.366209
3032;75016;CITE DUPLAN;CI;DUPLAN;48.875697, 2.284905
3042;75020;RUE DUPONT DE L EURE;RUE;DUPONT DE L EURE;48.868054, 2.400161
3047;75003;RUE CHARLES FRANCOIS DUPUIS;RUE;CHARLES F DUPUIS;48.86527, 2.363296
3050;75013;RUE DUPUY DE LOME;RUE;DUPUY DE LOME;48.821441, 2.371055
3053;75007;AVENUE DUQUESNE;AV;DUQUESNE;48.851976, 2.309676
3067;75018;CITE DUREL;CI;DUREL;48.89699, 2.334846
3072;75020;RUE DURIS;RUE;DURIS;48.865329, 2.38776
3094;75008;AVENUE DUTUIT;AV;DUTUIT;48.866058, 2.315677
6455;75014;BOULEVARD DU MONTPARNASSE;BD;DU MONTPARNASSE;48.842396, 2.328335
6455;75015;BOULEVARD DU MONTPARNASSE;BD;DU MONTPARNASSE;48.84246, 2.328385
6456;75006;RUE DU MONTPARNASSE;RUE;DU MONTPARNASSE;48.843407, 2.326678
6465;75011;RUE DE MONTREUIL;RUE;DE MONTREUIL;48.850409, 2.391669
6473;75014;PARC DE MONTSOURIS;PAR;DE MONTSOURIS;48.822348, 2.3378
6478;75001;RUE DU MONT THABOR;RUE;DU MONT THABOR;48.866148, 2.32722
6546;75001;RUE DES MOULINS;RUE;DES MOULINS;48.866773, 2.33505
6548;75014;RUE DU MOULIN VERT;RUE;DU MOULIN VERT;48.830329, 2.321964
6557;75012;RUE MOUSSET ROBERT;RUE;MOUSSET ROBERT;48.843144, 2.403787
6561;75014;RUE MOUTON DUVERNET;RUE;MOUTON DUVERNET;48.83202, 2.327403
6566;75016;AVENUE MOZART;AV;MOZART;48.854021, 2.269009
6576;75018;RUE MULLER;RUE;MULLER;48.886661, 2.346374
6581;75020;PASSAGE DES MURIERS;PAS;DES MURIERS;48.864544, 2.3914
6589;75005;SQUARE DE LA MUTUALITE;SQ;DE LA MUTUALITE;48.84875, 2.350415
6595;75008;AVENUE MYRON HERRICK;AV;MYRON HERRICK;48.873687, 2.310047
6619;75010;PLACE NAPOLEON III;PL;NAPOLEON III;48.879965, 2.354782
6630;75013;PONT NATIONAL;PO;NATIONAL;48.827923, 2.387118
6646;75004;RUE NECKER;RUE;NECKER;48.855364, 2.363211
6651;75015;RUE NELATON;RUE;NELATON;48.853298, 2.288144
Y421;75011;NON DENOMMEE N/11;NON;N/11;
Y423;75013;NON DENOMMEE N/13;NON;N/13;
Y439;75013;NON DENOMMEE DC/13;NON;DC/13;
Y444;75018;NON DENOMMEE BB/18;NON;BB/18;
Y451;75012;NON DENOMMEE CF/12;NON;CF/12;
Y452;75012;NON DENOMMEE CG/12;NON;CG/12;
Y453;75012;NON DENOMMEE CH/12;NON;CH/12;
Y466;75016;NON DENOMMEE P/16;NON;P/16;
Y473;75012;NON DENOMMEE CR/12;NON;CR/12;
Y478;75012;NON DENOMMEE CW/12;NON;CW/12;
Y482;75012;NON DENOMMEE CZ/12;NON;CZ/12;
Y484;75012;NON DENOMMEE DB/12;NON;DB/12;
Y494;75020;NON DENOMMEE ED/20;NON;ED/20;
Y495;75020;NON DENOMMEE EE/20;NON;EE/20;
Y503;75020;NON DENOMMEE EJ/20;NON;EJ/20;
Y506;75020;NON DENOMMEE EL/20;NON;EL/20;
Y514;75020;NON DENOMMEE EQ/20;NON;EQ/20;
Y519;75020;NON DENOMMEE EV/20;NON;EV/20;
Y528;75017;NON DENOMMEE S/17;NON;S/17;
Y529;75019;NON DENOMMEE S/19;NON;S/19;
Y530;75020;NON DENOMMEE EX/20;NON;EX/20;
Y536;75019;NON DENOMMEE CU/19;NON;CU/19;
Y553;75019;NON DENOMMEE DG/19;NON;DG/19;
Y554;75019;NON DENOMMEE DH/19;NON;DH/19;
Y563;75018;NON DENOMMEE BF/18;NON;BF/18;
Y571;75017;NON DENOMMEE U/17;NON;U/17;
42;75017;RUE DES ACACIAS;RUE;DES ACACIAS;48.876969, 2.29186
44;75020;RUE ACHILLE;RUE;ACHILLE;48.862424, 2.398782
59;75014;RUE ADOLPHE FOCILLON;RUE;ADOLPHE FOCILLON;48.826623, 2.328872
63;75014;BOULEVARD ADOLPHE PINARD;BD;ADOLPHE PINARD;48.823839, 2.307232
72;75014;VILLA ADRIENNE;VLA;ADRIENNE;48.83152, 2.33118
74;75007;ALLEE ADRIENNE LECOUVREUR;ALL;A LECOUVREUR;48.856136, 2.300183
91;75016;RUE AGAR;RUE;AGAR;48.851416, 2.27394
98;75008;RUE D AGUESSEAU;RUE;D AGUESSEAU;48.870398, 2.319547
112;75019;VILLA DES AIGRETTES;VLA;AIGRETTES;48.88229, 2.390971
114;75017;PLACE AIME MAILLART;PL;AIME MAILLART;48.881542, 2.29547
119;75010;RUE D AIX;RUE;D AIX;48.870329, 2.369603
124;75007;SQUARE D AJACCIO;SQ;D AJACCIO;48.858716, 2.300809
138;75010;RUE ALBERT CAMUS;RUE;ALBERT CAMUS;48.877929, 2.369324
139;75013;RUE ALBERT;RUE;ALBERT;48.825667, 2.37194
143;75018;PLACE ALBERT KAHN;PL;ALBERT KAHN;48.895905, 2.345837
150;75008;COURS ALBERT 1ER;CRS;ALBERT 1ER;48.864509, 2.306289
152;75019;VILLA ALBERT ROBIDA;VLA;ALBERT ROBIDA;48.87907, 2.390566
158;75013;PLACE ALBERT LONDRES;PL;ALBERT LONDRES;48.824121, 2.362999
165;75014;RUE D ALEMBERT;RUE;D ALEMBERT;48.829842, 2.332934
172;75019;RUE ALEXANDER FLEMING;RUE;A FLEMING;48.880755, 2.406389
176;75017;RUE ALEXANDRE CHARPENTIER;RUE;A CHARPENTIER;48.88434, 2.287747
177;75019;RUE ALEXANDRE DE HUMBOLDT;RUE;ALEX DE HUMBOLDT;48.88832, 2.380332
184;75020;SQUARE ALEXANDRE LUQUET;SQ;ALEXANDRE LUQUET;
194;75002;RUE D ALEXANDRIE;RUE;D ALEXANDRIE;48.868133, 2.350643
199;75016;RUE ALFRED DEHODENCQ;RUE;ALFRED DEHODENCQ;48.860868, 2.271023
202;75008;RUE ALFRED DE VIGNY;RUE;ALFRED DE VIGNY;48.879139, 2.305089
202;75017;RUE ALFRED DE VIGNY;RUE;ALFRED DE VIGNY;48.879139, 2.305089
203;75005;PLACE ALFRED KASTLER;PL;ALFRED KASTLER;
206;75015;PLACE ALFRED SAUVY;PL;ALFRED SAUVY;48.852787, 2.293519
209;75009;RUE ALFRED STEVENS;RUE;ALFRED STEVENS;48.881629, 2.339227
211;75012;COUR D ALGER;CO;D ALGER;48.847099, 2.368163
220;75016;SQUARE DES ALISCAMPS;SQ;DES ALISCAMPS;48.852404, 2.2607
222;75012;RUE ALLARD;RUE;ALLARD;48.840656, 2.415416
224;75007;RUE ALLENT;RUE;ALLENT;48.857851, 2.33078
229;75019;QUAI DE L ALLIER;QU;DE L ALLIER;48.900816, 2.38109
234;75003;PASSAGE ALOMBERT;PAS;ALOMBERT;48.864195, 2.356824
237;75019;AVENUE DES ALOUETTES;AV;DES ALOUETTES;48.878122, 2.385556
241;75019;RUE ALPHONSE AULARD;RUE;ALPHONSE AULARD;48.880424, 2.399292
247;75005;PLACE ALPHONSE LAVERAN;PL;ALPHONSE LAVERAN;48.840861, 2.340937
248;75017;RUE ALPHONSE DE NEUVILLE;RUE;A DE NEUVILLE;48.886052, 2.302236
249;75020;RUE ALPHONSE PENAUD;RUE;ALPHONSE PENAUD;48.868325, 2.406822
257;75019;RUE D ALSACE LORRAINE;RUE;ALSACE LORRAINE;48.88329, 2.392299
261;75019;VILLA AMALIA;VLA;AMALIA;48.881055, 2.392445
269;75009;RUE AMBROISE THOMAS;RUE;AMBROISE THOMAS;48.87464, 2.347381
271;75007;RUE AMELIE;RUE;AMELIE;48.858792, 2.307582
273;75011;IMPASSE AMELOT;IMP;AMELOT;48.860078, 2.3699
277;75011;CITE DE L AMEUBLEMENT;CI;DE L AMEUBLEMENT;48.851, 2.385651
283;75016;RUE DE L AMIRAL COURBET;RUE;AMIRAL COURBET;48.868806, 2.283325
